	Reported Trait	Trait Label	Trait Ontology id	PMID	COHORT	N	Ancestry	Classification	Notes	rv_idx
1	Biochemistry Total Protein measurement	total blood protein measurement	EFO:0004536	34226706	UKB	400482.0	EUR	Population Q		1
2	Biochemistry Calcium measurement	calcium measurement	EFO:0004838	34226706	UKB	400792.0	EUR	Population Q		2
3	Biochemistry SHBG measurement	sex hormone-binding globulin measurement	EFO:0004696	34226706	UKB	397043.0	EUR	Population Q		3
4	Biochemistry Gamma Glutamyl transferase measurement	serum gamma-glutamyl transferase measurement	EFO:0004532	34226706	UKB	437651.0	EUR	Population Q		4
5	Biochemistry LDL direct	LDL cholesterol	EFO:0004195	34226706	UKB	437651.0	EUR	Population Q		5
6	Biochemistry Total Bilirubin measurement	bilirubin measurement	EFO:0004570	34226706	UKB	436055.0	EUR	Population Q		6
7	Biochemistry Triglycerides	triglyceride	CHEBI:17855	34226706	UKB	437532.0	EUR	Population Q		7
8	Biochemistry Apolipoprotein B measurement	apolipoprotein B change measurement	EFO:0020874	34226706	UKB	435744.0	EUR	Population Q		8
9	Biochemistry Cholesterol	cholesterol	CHEBI:16113	34226706	UKB	437878.0	EUR	Population Q		9
13	Gamma_glutamyltransferase measurement	protein-glutamine gamma-glutamyltransferase e measurement	EFO:0020690	37262146	UKB	402655.0	EUR	Population Q	Mixed Q/CC	13
14	Direct_bilirubin measurement	bilirubin measurement	EFO:0004570	37262146	UKB	342245.0	EUR	Population Q	Mixed Q/CC	14
15	Total_bilirubin measurement	bilirubin measurement	EFO:0004570	37262146	UKB	401159.0	EUR	Population Q	Mixed Q/CC	15
16	Lipoprotein_a	lipoprotein	EFO:0003836	37262146	UKB	322389.0	EUR	Population Q	Mixed Q/CC	16
22	Gamma glutamyltransferase measurement	protein-glutamine gamma-glutamyltransferase e measurement	EFO:0020690	36088354	UKB	182654.0	EUR	Population Q		22
24	Other digestive organs diagnoses	digestive system disease	EFO:0000405	34375979	UKB	281104.0	EUR	Population CC/Q		24
30	Calculus of lower urinartract	lower urinary tract calculus	MONDO:0004828	34375979	UKB	281104.0	EUR	Population CC/Q		30
36	Aorta diastolic blood pressure	diastolic blood pressure	EFO:0006336	32436959	Exclude	99785.0	EUR	Population Q	Candidate Approach	36
39	Tibial artery systolic blood pressure	systolic blood pressure	EFO:0006335	32436959	Exclude	99785.0	EUR	Population Q	Candidate Approach	39
40	Benign neoplasm of urinarorgans	benign neoplasm	EFO:0002422	34375979	UKB	281104.0	EUR	Population CC/Q		40
43	Forced vital capacity (fvc)	vital capacity	EFO:0004312	30175238	SpiroMeta,CHARGE	68470.0	EUR, AFR	Population Q		43
44	Crohn's disease	Crohn's disease	EFO:0000384	20549515	WTCCC	4686.0	EUR	Ascertained CC		44
45	Aortic (valve stenosis with insufficiency	aortic valve stenosis	MONDO:0042981	34375979	UKB	281104.0	EUR	Population CC/Q		45
48	Varicella [chickenpox])	chickenpox	EFO:0007204	34375979	UKB	281104.0	EUR	Population CC/Q		48
55	Lymphocyte_percentage	lymphocyte percentage of leukocytes	EFO:0007993	37262146	UKB	454712.0	EUR	Exclude	Mixed Q/CC	55
57	Total cholesterol measurement	total cholesterol change measurement	EFO:0007806	36220816	TOPMed	66000.0	Mixed	Population Q		57
58	HDL-C measurement	HDL cholesterol change measurement	EFO:0007805	36220816	TOPMed	66000.0	Mixed	Population Q		58
59	Biochemistry Apolipoprotein A measurement	apolipoprotein A-IV measurement	EFO:0007848	34226706	UKB	398508.0	EUR	Population Q		59
60	Biochemistry HDL cholesterol measurement	HDL cholesterol change measurement	EFO:0007805	34226706	UKB	400754.0	EUR	Population Q		60
61	Apolipoprotein_a measurement	apolipoprotein A-IV measurement	EFO:0007848	37262146	UKB	366715.0	EUR	Population Q	Mixed Q/CC	61
62	Hdl_cholesterol measurement	HDL cholesterol change measurement	EFO:0007805	37262146	UKB	368755.0	EUR	Population Q	Mixed Q/CC	62
63	Creatinine	creatinine	CHEBI:16737	37262146	UKB	402670.0	EUR	Population Q	Mixed Q/CC	63
64	Mean_platelet_thrombocyte_volume	mean platelet volume	EFO:0004584	37262146	UKB	454712.0	EUR	Exclude	Mixed Q/CC	64
65	Ldl_direct	LDL cholesterol	EFO:0004195	37262146	UKB	402091.0	EUR	Population Q	Mixed Q/CC	65
66	Total cholesterol measurement	total cholesterol change measurement	EFO:0007806	36280733	Mixed	76999.0	EUR	Ascertained Q	Mixed N	66
68	HDL-C measurement	HDL cholesterol change measurement	EFO:0007805	36280733	Mixed	73552.0	EUR	Ascertained Q	Mixed N	68
73	Arm_fat_percentage_right	body fat percentage	EFO:0007800	37262146	UKB	414672.0	EUR	Population Q	Mixed Q/CC	73
74	Vitamin_d	vitamin D	CHEBI:27300	37262146	UKB	384573.0	EUR	Population Q	Mixed Q/CC	74
75	Glycated_haemoglobin_hba1c measurement	HbA1c measurement	EFO:0004541	37262146	UKB	401817.0	EUR	Population Q	Mixed Q/CC	75
76	Cholesterol	cholesterol	CHEBI:16113	37262146	UKB	402864.0	EUR	Population Q	Mixed Q/CC	76
77	Hip_circumference	hip circumference	EFO:0005093	37262146	UKB	421391.0	EUR	Population Q	Mixed Q/CC	77
78	Mean_sphered_cell_volume	mean corpuscular volume	EFO:0004526	37262146	UKB	402912.0	EUR	Population Q	Mixed Q/CC	78
79	Triglycerides measurement	triglyceride measurement	EFO:0004530	37262146	UKB	402541.0	EUR	Population Q	Mixed Q/CC	79
122	Hdl cholesterol measurement	HDL cholesterol change measurement	EFO:0007805	31992710	UKB	44675.0	EUR	Population Q	Mixed Q/CC	122
123	HDL cholesterol measurement	HDL cholesterol change measurement	EFO:0007805	31992710	UKB	44675.0	EUR	Population Q	Mixed Q/CC	123
126	Apolipoprotein a measurement	apolipoprotein A-IV measurement	EFO:0007848	31992710	UKB	35491.0	EUR	Population Q	Mixed Q/CC	126
127	Apolipoprotein A measurement	apolipoprotein A-IV measurement	EFO:0007848	31992710	UKB	35491.0	EUR	Population Q	Mixed Q/CC	127
162	High-density lipoprotein cholesterol	high-density lipoprotein cholesterol	CHEBI:47775	36564505	TOPMed	200000.0	Mixed	Population Q		162
163	Total cholesterol measurement	total cholesterol change measurement	EFO:0007806	36564505	TOPMed	200000.0	Mixed	Population Q		163
164	Apolipoprotein a (+3) measurement	apolipoprotein A 1 measurement	EFO:0004614	36088354	UKB	167049.0	EUR	Population Q		164
165	APOA1 measurement	apolipoprotein A 1 measurement	EFO:0004614	31367044	Finnish	14458.0	EUR	Population Q		165
166	HDL-C measurement	HDL cholesterol change measurement	EFO:0007805	31367044	Finnish	19289.0	EUR	Population Q		166
167	Trans-effected transcripts	coronary artery disease	EFO:0001645	25958224	Exclude	801.0			Candidate Approach	167
168	HDL (HUNT) measurement	HDL cholesterol change measurement	EFO:0007805	32424355	UKB	69716.0	EUR	Population Q	Mixed Q/CC; Has heritability	168
169	Hdl-cholesterol measurement	HDL cholesterol change measurement	EFO:0007805	20421590	Review					169
170	High density lipoprotein cholesterol	high-density lipoprotein cholesterol	CHEBI:47775	20876667	Review					170
171	Lung FEV1/FVC	FEV/FEC ratio	EFO:0004713	34226706	UKB	371898.0	EUR	Population Q		171
233	Alzheimer's disease	Alzheimer disease	MONDO:0004975	28539126	ADNI	818.0	EUR	Ascertained Q		233
234	Biochemistry Albumin	serum albumin	PR:000003918	34226706	UKB	400938.0	EUR	Population Q		234
235	LDL-C	LDL cholesterol	EFO:0004195	36280733	Mixed	74962.0	EUR	Ascertained Q	Mixed N	235
236	LDL-C measurement	low density lipoprotein cholesterol measurement	EFO:0004611	36280733	Mixed	74962.0	EUR	Ascertained Q	Mixed N	236
