	Reported Trait	Trait Label	Trait Ontology id	PMID	COHORT	N	Ancestry	Classification	Notes	rv_idx	Trait	Mapped	TraitExp	MappedExp	MAPPED_TRAIT_CLEAN	TRAIT_CODE_CLEAN
0	Forced vital capacity (fvc)	vital capacity	EFO:0004312	30175238	SpiroMeta,CHARGE	68470.0	EUR, AFR	Population Q		43	forced vital capacity (fvc)	vital capacity	forced vital capacity (fvc)	vital capacity	vital capacity	EFO_0004312
1	Crohn's disease	Crohn's disease	EFO:0000384	20549515	WTCCC	4686.0	EUR	Ascertained CC		44	crohn's disease	crohn's disease	crohn's disease	crohn's disease	crohn's disease	EFO_0000384
2	Total cholesterol measurement	total cholesterol change measurement	EFO:0007806	36220816	TOPMed	66000.0	Mixed	Population Q		57	total cholesterol measurement	total cholesterol change measurement	total cholesterol measurement	total cholesterol change measurement	total cholesterol measurement	EFO_0004574
3	Total cholesterol measurement	total cholesterol change measurement	EFO:0007806	36280733	Mixed	76999.0	EUR	Ascertained Q	Mixed N	66	total cholesterol measurement	total cholesterol change measurement	total cholesterol measurement	total cholesterol change measurement	total cholesterol measurement	EFO_0004574
4	Cholesterol	cholesterol	CHEBI:16113	37262146	UKB	402864.0	EUR	Population Q	Mixed Q/CC	76	cholesterol	cholesterol	cholesterol	cholesterol	total cholesterol measurement	EFO_0004574
5	Total cholesterol measurement	total cholesterol change measurement	EFO:0007806	36564505	TOPMed	200000.0	Mixed	Population Q		163	total cholesterol measurement	total cholesterol change measurement	total cholesterol measurement	total cholesterol change measurement	total cholesterol measurement	EFO_0004574
6	Alzheimer's disease	Alzheimer disease	MONDO:0004975	28539126	ADNI	818.0	EUR	Ascertained Q		233	alzheimer's disease	alzheimer disease	alzheimer's disease	alzheimer disease	Alzheimer disease	MONDO_0004975
7	Glucose	glucose	CHEBI:17234	37262146	UKB	368499.0	EUR	Population Q	Mixed Q/CC	239	glucose	glucose	glucose	glucose	glucose measurement	EFO_0004468
8	Hiatus hernia	Hiatus hernia	HP:0002036	34375979	UKB	281104.0	EUR	Population CC/Q		286	hiatus hernia	hiatus hernia	hiatus hernia	hiatus hernia	hiatus hernia	HP_0002036
9	Malaria	malaria	EFO:0001068	34375979	UKB	281104.0	EUR	Population CC/Q		287	malaria	malaria	malaria	malaria	malaria	EFO_0001068
10	Alkaline phosphatase measurement	alkaline phosphatase measurement	EFO:0004533	31992710	UKB	48372.0	EUR	Population Q	Mixed Q/CC	303	alkaline phosphatase measurement	alkaline phosphatase measurement	alkaline phosphatase measurement	alkaline phosphatase measurement	alkaline phosphatase measurement	EFO_0004533
11	Standing height	body height	EFO:0004339	36138231	UKB	166587.0	EUR	Population Q	Mixed Q/CC	335	standing height	body height	standing height	body height	body height	OBA_VT0001253
12	Phosphate	phosphate	CHEBI:26020	37262146	UKB	368220.0	EUR	Population Q	Mixed Q/CC	361	phosphate	phosphate	phosphate	phosphate	phosphate measurement	EFO_0010968
13	Platelet aggregation	platelet aggregation	GO:0070527	29185836	Mixed	4213.0	EUR	Population Q		367	platelet aggregation	platelet aggregation	platelet aggregation	platelet aggregation	platelet aggregation	GO_0070527
14	Essential hypertension	essential hypertension	MONDO:0001134	34375979	UKB	281104.0	EUR	Population CC/Q		368	essential hypertension	essential hypertension	essential hypertension	essential hypertension	essential hypertension	MONDO_0001134
