Entrez	Gene Symbol	Ensembl ID	P-value
7253	TSHR	ENSG00000165409	5.73e-23
7038	TG	ENSG00000042832	6.35e-14
64135	IFIH1	ENSG00000115267	3.13e-06
4486	MST1R	ENSG00000164078	5.02e-06
64599	GIGYF1	ENSG00000146830	5.22e-06
113174	SAAL1	ENSG00000166788	1.04e-05
3746	KCNC1	ENSG00000129159	1.47e-05
8999	CDKL2	ENSG00000138769	1.6e-05
29980	DONSON	ENSG00000159147	1.65e-05
4772	NFATC1	ENSG00000131196	1.74e-05
2239	GPC4	ENSG00000076716	2.4e-05
8416	ANXA9	ENSG00000143412	2.48e-05
8139	GAN	ENSG00000261609	2.88e-05
53938	PPIL3	ENSG00000240344	3.09e-05
3769	KCNJ13	ENSG00000115474	3.51e-05
81545	FBXO38	ENSG00000145868	3.77e-05
54941	RNF125	ENSG00000101695	4.42e-05
11070	TMEM115	ENSG00000126062	5.64e-05
646603	C4orf51	ENSG00000237136	6.34e-05
10051	SMC4	ENSG00000113810	6.5e-05
29985	SLC39A3	ENSG00000141873	6.56e-05
4931	NVL	ENSG00000143748	6.98e-05
84172	POLR1B	ENSG00000125630	7.11e-05
4582	MUC1	ENSG00000185499	8e-05
9859	CEP170	ENSG00000276725	8.31e-05
84759	PCGF1	ENSG00000115289	9.08e-05
