GeneSet	Tissue	Log10PValue	Tissue.Specific.Genes	fold.change	samples	NotIdentifiedCount
34375979_EFO_0004533_GCST90025947_EFO_0004533	Adipose Tissue	2.46226342681958	18	2.31628610972858	5	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Adrenal Gland	0.845699256411171	18	1.47400025164546	3	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Appendix	0.00245652456624778	6	0.694454494723093	3	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Bone Marrow	0.322939838551601	16	1.15500445579962	4	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Breast	0.00245652456624778	4	0.613863479286092	4	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Cerebral Cortex	0.0880240094906961	68	0.961649614308246	3	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Cervix, uterine	1.65200978534916	15	2.0179765349908	2	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Colon	3.58531170482313	21	2.77118306333769	13	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Duodenum	1.69803949265831	26	1.69391573293568	2	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Endometrium	0.468254073268158	8	1.41660802912175	5	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Esophagus	0.320787676563494	14	1.15557965722183	3	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Fallopian Tube	0.0605345938989459	19	0.89667415966334	5	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Gallbladder	2.20389773303651	16	2.30198804732284	3	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Heart Muscle	0.00245652456624778	5	0.510292916894227	4	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Kidney	2.63673669731496	31	1.90580019348093	9	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Liver	56.465026889095	119	5.84224928597812	10	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Lung	4.38709532258173	25	2.8458643442178	9	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Lymph Node	0.00245652456624778	5	0.411069294164794	5	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Ovary	0.333546019108517	8	1.27494722620958	3	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Pancreas	0.593182356446187	6	1.7028404733621	2	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Placenta	2.03101133857811	30	1.72649103549213	8	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Prostate	0.593182356446187	13	1.38831237905553	9	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Rectum	3.36562207368293	21	2.5897365532382	4	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Salivary Gland	1.61304239784122	10	2.38136694550639	3	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Seminal Vesicle	1.03856019645518	14	1.68634008117836	3	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Skeletal Muscle	0.00245652456624778	9	0.577278736325543	5	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Skin	0.749360179818973	29	1.30612800076361	3	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Small Intestine	2.83443264810759	32	1.94991928714406	4	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Smooth Muscle	0.237172849777334	5	1.16392654078121	3	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Spleen	0.181407912932685	15	1.01891274225765	5	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Stomach	0.712686455691638	12	1.51594334823699	4	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Testis	1.21034001286634	122	1.18610177191951	10	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Thyroid Gland	3.36562207368293	28	2.23977215415196	5	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Tonsil	0.00245652456624778	4	0.470861191497855	5	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Urinary Bladder	0.308567829016033	4	1.33663822102617	2	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Adipose Tissue	2.1653973261508e-12	8	0.779583133264148	5	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Adrenal Gland	2.1653973261508e-12	6	0.372073768148798	3	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Appendix	92.1830540209013	116	10.1672448301964	3	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Bone Marrow	58.6340245312599	113	6.17724561998025	4	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Breast	0.0713680243987935	11	1.2783719713063	4	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Cerebral Cortex	2.1653973261508e-12	39	0.417662328819589	3	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Cervix, uterine	2.1653973261508e-12	6	0.611264047673025	2	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Colon	2.1653973261508e-12	10	0.9993064049007	13	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Duodenum	2.1653973261508e-12	17	0.838726036062883	2	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Endometrium	2.1653973261508e-12	4	0.536379848100546	5	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Esophagus	0.211705740383272	21	1.31263474779187	3	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Fallopian Tube	2.1653973261508e-12	17	0.607550978287008	5	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Gallbladder	0.00377110405680113	11	1.19847372309966	3	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Heart Muscle	2.1653973261508e-12	2	0.154572517802374	4	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Kidney	2.1653973261508e-12	7	0.325886569432008	9	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Liver	2.1653973261508e-12	13	0.483313832322826	10	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Lung	2.11750010236672	23	1.98268979565738	9	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Lymph Node	104.880594738104	145	9.02746440776366	5	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Ovary	2.1653973261508e-12	6	0.724112794935738	3	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Pancreas	2.1653973261508e-12	2	0.429838645395643	2	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Placenta	2.1653973261508e-12	21	0.915198115821557	8	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Prostate	2.1653973261508e-12	4	0.323486815607031	9	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Rectum	2.1653973261508e-12	11	1.02726319122828	4	0
