GeneSet	Tissue	Log10PValue	Tissue.Specific.Genes	fold.change	samples	NotIdentifiedCount
34375979_EFO_0004533_GCST90025947_EFO_0004533	Adipose Tissue	0	0	0	5	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Adrenal Gland	0	0	0	3	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Appendix	0	0	0	3	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Bone Marrow	0	0	0	4	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Breast	0	0	0	4	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Cerebral Cortex	0	0	0	3	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Cervix, uterine	0	0	0	2	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Colon	0.9855335958462	1	60.1082802547771	13	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Duodenum	2.24698822668556	2	59.3522012578616	2	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Endometrium	0	0	0	5	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Esophagus	0	0	0	3	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Fallopian Tube	0	0	0	5	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Gallbladder	0	0	0	3	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Heart Muscle	0	0	0	4	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Kidney	0.752117277211626	1	28.0029673590504	9	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Liver	2.23516355418923	2	44.7251184834123	10	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Lung	0	0	0	9	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Lymph Node	0	0	0	5	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Ovary	0	0	0	3	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Pancreas	1.17033224403245	1	129.27397260274	2	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Placenta	0	0	0	8	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Prostate	0	0	0	9	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Rectum	0.9855335958462	1	56.172619047619	4	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Salivary Gland	0	0	0	3	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Seminal Vesicle	0	0	0	3	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Skeletal Muscle	0	0	0	5	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Skin	0	0	0	3	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Small Intestine	2.24698822668556	2	55.5117647058823	4	0
