EFO	Trait	Common Study	Rare Study	Analysis Set	nCommon	nRare	nShared	pShared	Network	Observed Size	Expected Size	Log2SizeOE	COLOC Score	COLOC p	COLOC -logp	Optimal COLOC	Observed Size PC22	Expected Size PC22	Log2SizeOE PC22	COLOC Score PC22	COLOC P PC22	COLOC -logp PC22	Observed Size HN	Expected Size HN	Log2SizeOE HN	COLOC Score HN	COLOC P HN	COLOC -logp HN	Observed Size ST	Expected Size ST	Log2SizeOE ST	COLOC Score ST	COLOC P ST	COLOC -logp ST	Observed Size OP	Expected Size OP	Log2SizeOE OP	COLOC Score OP	COLOC P OP	COLOC -logp OP
EFO_0000095	chronic lymphocytic leukemia	GCST000224	34662886	Additional	4	4	0	1.0	PCNet2.0	398	247.486	0.6854215148770525	1.6081717753731526	1.181e-25	24.927750102386486	False																								
EFO_0000095	chronic lymphocytic leukemia	GCST002073	34662886	Additional	9	4	0	1.0	PCNet2.0	571	273.173	1.063675848677012	2.0902505005985215	1.1109999999999996e-86	85.95428594105913	True	434.0	230.611	0.9122337123905743	1.8819570618921042	9.521e-50	49.021317434843056	309.0	239.421	0.3680571392018762	1.2906136053228414	2.846e-07	6.545765104251735	272.0	220.084	0.3055523856632264	1.235891750422566	7.029e-05	4.153106456683375	122.0	254.847	-1.0627502224824101	0.47871860371124636	1.542e-21	20.81191562628506
EFO_0000095	chronic lymphocytic leukemia	GCST003468	34662886	Additional	17	4	0	1.0	PCNet2.0	458	257.21	0.8324008644045922	1.7806461646125735	3.243e-45	44.48905305132703	False																								
EFO_0000095	chronic lymphocytic leukemia	GCST004146	34662886	Additional	15	4	0	1.0	PCNet2.0	477	289.493	0.720460802255935	1.6477082347414274	5.7060000000000015e-37	36.24366823267894	False																								
EFO_0000095	chronic lymphocytic leukemia	GCST90027053	34662886	Initial	24	4	0	1.0	PCNet2.0	258	278.075	-0.1081029810955067	0.9278072462465162	0.1671	0.7770235501066086	False																								
EFO_0000096	neoplasm of mature B-cells	GCST002643	34375979	Initial	4	8	0	1.0	PCNet2.0	116	185.938	-0.6806968374659561	0.6238638686013618	3.737e-08	7.427476902150363	True	151.0	169.929	-0.1703835336129979	0.8886064179745659	0.1173	0.9307019878844708	79.0	155.106	-0.9733299371451839	0.5093291039676092	1.661e-11	10.779630367548606							71.0	138.95	-0.9686749048085173	0.5109751709247932	1.738e-11	10.759950227887352
EFO_0000198	myelodysplastic syndrome	GCST009516	34375979	Initial	5	14	0	1.0	PCNet2.0	137	185.707	-0.4388523037512452	0.7377212490643864	4.899e-05	4.30989256054367	True	112.0	156.299	-0.48080981573060305	0.7165752819915674	0.0001021	3.9909742579130896	60.0	197.404	-1.7181168176063955	0.30394520881035847	2.4079999999999998e-27	26.618343517414214	123.0	133.584	-0.11908890405143664	0.9207689543657923	0.2971	0.527097348196336	57.0	95.596	-0.7459883338565259	0.5962592577095276	1.87e-05	4.728158393463501
EFO_0000217	gastritis	GCST002638	34375979	Initial	4	23	0	1.0	PCNet2.0	167	184.951	-0.1472949982012974	0.9029418602765057	0.1313	0.8817352739105206	True	163.0	190.431	-0.22439638764448167	0.8559530748670121	0.02167	1.6641410886801822	136.0	178.969	-0.3961030621623859	0.7599081405159553	0.000376	3.424812155072339	144.0	169.132	-0.23208083373185062	0.851406002412317	0.02702	1.5683146553139882	39.0	102.293	-1.3911613944823704	0.3812577595729913	1.474e-11	10.831502516476966
EFO_0000266	aortic stenosis	GCST90276156	34375979	Initial	9	19	0	1.0	PCNet2.0	293	182.145	0.6858132719506373	1.6086085261742018	1.418e-19	18.84832376915295	True	186.0	141.289	0.39665347174918464	1.3164506791045305	4.7e-05	4.327902142064283	318.0	193.149	0.7193125572578065	1.646397340912974	4.8949999999999995e-22	21.310247303860844	296.0	139.678	1.083492369067613	2.119159781783817	2e-47	46.69897000433602	153.0	115.964	0.3998546499989831	1.3193749784415854	0.0001779	3.749824051916075
EFO_0000274	atopic eczema	GCST001709	34375979	Additional	3	9	0	1.0	PCNet2.0	166	222.238	-0.4209222795846123	0.7469469667653597	1.283e-05	4.891773343625071	False																								
EFO_0000274	atopic eczema	GCST90013680	34375979	Additional	3	9	0	1.0	PCNet2.0	384	319.176	0.2667541367756664	1.2030979772915258	4.102e-05	4.387004343967653	True	136.0	200.594	-0.5606718024320956	0.6779863804500633	4.901e-07	6.3097152974873705	224.0	160.908	0.4772626767410258	1.3920998334451986	9.02e-08	7.044793462458058	258.0	148.253	0.7993097666692809	1.7402683250929156	3.965000000000001e-23	22.401756808346377	143.0	106.761	0.4216304230326895	1.339440432367625	0.0001569	3.8043770564130632
EFO_0000274	atopic eczema	GCST90018784	34375979	Additional	9	9	0	1.0	PCNet2.0	240	239.802	0.0011907146460887	1.0008256811869793	0.9886	0.004979393875242	False																								
EFO_0000274	atopic eczema	GCST90027161	34375979	Additional	9	9	0	1.0	PCNet2.0	219	201.367	0.1211035958025538	1.087566483088093	0.1735	0.7607005208731075	False																								
EFO_0000274	atopic eczema	GCST90297795	34375979	Initial	40	9	0	1.0	PCNet2.0	267	243.747	0.1314552794065081	1.0953980972073503	0.08743	1.0583395216116076	False																								
EFO_0000275	atrial fibrillation	GCST005306	34375979	Additional	5	9	0	1.0	PCNet2.0	367	253.228	0.5353431273869367	1.4492868087257333	1.768e-15	14.752517739322943	False																								
