Mapped Trait	Mapped EFO	Study Identifier	Variant Type	Trait Type	Biological Domain	Set	Reported Trait	Trait Cosine Similarity	Population Cohort	Population Sample Size	PUBMED ID	Gene Count	Gene List	SynIntol	LOEUF	Length	nGO	sHet	mrna	n_mrna	CDS	ExpLoF	PhyloP
proteinuria	HP_0000093	34375979	Rare	Categorical	Renal	Initial	Isolated proteinuria	0.87141615	UKB	190361.0	34375979	6	57724,3886,11016,221409,8874,51118	0.16519	0.7415	78041.5	10.0	0.013429425	12.099134629629631	54.0	1193.5	44.8505	1.0575999999999999
neutrophil count	EFO_0004833	28089252	Rare	Continuous	Immunological	Initial	Neutrophil count	1.0000004	ARIC	1860.0	28089252	7	4332,3428,3310,2532,57863,149628,1944	-0.034458	1.033	18155.0	18.0	0.00235273	19.72685496851852	49.0	1248.0	33.453	0.1575
autism spectrum disorder	EFO_0003756	35982160	Rare	Categorical	Psychiatric	Initial	Autism spectrum disorder	1.0000002	Meta	63237.0	35982160	119	57680,23394,85358,6326,8831,5728,27086,1106,23126,2904,51111,9378,57492,10765,55870,6529,80816,1859,64599,1778,4763,3996,55777,6812,9969,5991,10522,23314,55209,6096,1175,23389,79813,8452,23135,9024,287,25836,11011,493,58508,6323,253738,1788,6601,3786,6683,51322,51317,1499,64207,57551,6497,29123,4297,28514,80155,3778,26137,3745,1826,9439,6934,7716,2554,26053,5361,10664,57524,6942,4212,5290,1107,1387,1459,22941,55690,5079,92,3710,23040,51366,4208,9369,7248,221092,23095,79718,8621,5554,10669,23125,22877,6734,6595,23036,65123,10492,5087,9568,5253,2011,6857,56172,1496,10787,197131,7091,9320,322,4076,51780,80204,29035,1808,90134,6550,1454,10716	0.21309	0.279	118587.0	24.0	0.196723	16.934898703703702	54.0	2352.0	88.498	1.138
pulmonary tuberculosis	EFO_1000049	34375979	Rare	Categorical	Infection	Initial	Tuberculosis (tb	0.86746013	UKB	281104.0	34375979	10	53919,83733,54437,5605,26523,7248,55181,57719,9970,54980	-0.087285	0.8265	44663.5	12.5	0.0379436	8.437899074074071	54.0	2196.0	75.3785	1.056611111111111
pulmonary embolism	EFO_0003827	34375979	Rare	Categorical	Cardiovascular	Initial	Pulmonary embolism	1.0000002	UKB	243267.0	34375979	11	5627,5624,5935,3212,57325,462,1129,85360,57798,10009,29803	0.61051	0.987	10815.0	15.0	0.0549036	19.77852988333333	52.0	1401.0	36.468	1.026
gastroesophageal reflux disease	EFO_0003948	34375979	Rare	Categorical	Gastrointestinal	Initial	Gastro-oesophageal reflux disease	0.9658337	UKB	266291.0	34375979	15	10804,26227,23216,9472,133,5265,4646,79815,26281,23678,117245,1716,2670,51092,5083	0.26571	0.991	29790.0	20.0	0.0123123	18.10903388888889	52.0	1239.0	32.365	1.026
hypothyroidism	EFO_0004705	34375979	Rare	Categorical	Endocrine	Initial	Other hypothyroidism	0.952587	UKB	180146.0	34375979	26	7253,7038,64135,4486,64599,113174,3746,8999,29980,4772,2239,8416,8139,53938,3769,81545,54941,11070,646603,10051,29985,4931,84172,4582,9859,84759	-0.046452	0.892	44756.5	11.5	0.00993757	8.996403694444444	52.5	1634.0	54.948	1.0666666666666667
Barrett's esophagus	EFO_0000280	34375979	Rare	Categorical	Gastrointestinal	Initial	Barrett's oesophagus	0.9367394	UKB	197822.0	34375979	12	26240,51091,168417,91646,3816,221391,27132,6575,1315,23635,9934,10765	0.103506	0.9770000000000001	53692.5	8.5	0.0131886	8.022579333333333	47.0	1434.5	35.3635	1.026
bacterial meningitis	EFO_1000831	34375979	Rare	Categorical	Infection	Initial	Bacterial meningitis| not elsewhere classified	0.8900169	UKB	269170.0	34375979	7	57662,10362,5439,4007,23566,54933,134526	0.009864999999999985	1.0035	22441.0	12.0	0.0177124	8.052711851851852	36.0	1062.0	26.142	1.026
endometriosis	EFO_0001065	34375979	Rare	Categorical	Reproductive	Initial	Endometriosis	1.0	UKB	146157.0	34375979	22	777,153830,79172,90993,114790,6532,6521,84945,1801,100506127,9564,126402,8771,339488,2316,10749,6236,8834,4602,64319,729974,6344	0.060155	0.954	24062.0	10.0	0.04201075	10.402395833333333	53.0	1530.0	40.252	1.026
Varicose veins	HP_0002619	34375979	Rare	Categorical	Cardiovascular	Initial	Varicose veins	1.0000002	UKB	281104.0	34375979	8	132160,54600,26278,6390,375033,375611,2802,8431	0.21752500000000002	0.882	47864.0	12.5	0.00852195	12.706136652777783	51.5	1776.5	59.4545	1.042
mean corpuscular hemoglobin concentration	EFO_0004528	34375979	Rare	Continuous	Hematological	Initial	Mean corpuscular haemoglobin concentration	0.9555088	UKB	261243.0	34375979	8	3043,7037,6005,6521,8786,10661,388588,164656	-0.19455499999999998	1.172	13715.0	16.0	0.0054185050000000005	3.5824218384259265	24.5	1277.5	52.662	1.0146666666666666
total lipids in small LDL	EFO_0022168	36809768	Rare	Continuous	Metabolic	Initial	Total Lipids in Small LDL	1.0000002	UKB	97943.0	36809768	38	348,338,23624,255738,5817,1463,3949,343263,78992,728780,10087,256006,84226,64241,26762,64240,11321,134359,94039,23460,345,125931,116519,1952,284612,3837,8882,6580,2524,84811,353355,4018,7771,57523,7772,11129,27329,432	0.09217349999999999	1.1145	26302.5	12.0	0.0019745500000000003	7.696792019444445	29.5	1607.0	47.977500000000006	1.013
total lipids in IDL	EFO_0022161	36809768	Rare	Continuous	Metabolic	Initial	Total Lipids in IDL	0.99999976	UKB	97924.0	36809768	43	348,587,255738,338,23624,3949,5817,23460,53345,728780,78992,1463,64241,64240,134359,9388,343263,256006,125931,4023,2524,57678,146894,23461,94039,3837,221037,27329,3990,6927,169436,6580,10019,284612,350,10072,284358,582,54905,353355,26762,7772,29881	0.12791	1.075	29644.0	17.0	0.00185083	6.997868433333334	24.0	1428.0	49.467	1.014
spondylosis	MONDO_0002253	34375979	Rare	Categorical	Skeletal	Initial	Spondylosis	1.0000002	UKB	244193.0	34375979	27	3681,84940,29789,5105,1687,79641,1819,827,8078,79587,64407,79879,1618,253260,144132,125150,9750,1012,60685,27037,84133,128338,6227,493861,55124,84162,2995	-0.13806000000000002	0.9155	33170.0	13.0	0.0067628	17.089006111111114	54.0	1292.0	47.442499999999995	1.082
bipolar disorder	MONDO_0004985	34375979	Rare	Categorical	Psychiatric	Initial	Bipolar affective disorder	0.8998481	UKB	249423.0	34375979	8	5470,79137,4599,79768,6283,317772,6092,79722	-0.00031499999999998196	0.8895	46379.0	16.5	0.009120165	5.517029993240741	34.0	1450.5	53.2715	1.026
