Trait	Log2SizeOE	-logCOLOC p	Test Annotation	Test	TraitC	TraitR	Repeat	SizeOE	Network
EFO_0004842	1.839435952001225	250.0	Original	Synthetic	GCST90002302_EFO_0004842	34226706_EFO_0004842		3.578700851646155	PCNet2.0
EFO_0022242	1.9535908617512785	250.0	Original	Synthetic	GCST90269697_EFO_0022242	36809768_EFO_0022242		3.873374139250191	PCNet2.0
EFO_0004530	1.7387444795263407	250.0	Original	Synthetic	GCST90239661_EFO_0004530	34375979_EFO_0004530		3.3374459662172358	PCNet2.0
EFO_0022248	1.7716764028993026	250.0	Original	Synthetic	GCST90269733_EFO_0022248	36809768_EFO_0022248		3.4145048967899654	PCNet2.0
EFO_0004509	0.7870401287960364	31.852014679316195	Original	Synthetic	GCST90002314_EFO_0004509	34226706_EFO_0004509		1.7255306843330416	PCNet2.0
EFO_0009767	1.922639391752059	250.0	Original	Synthetic	GCST90092820_EFO_0009767	31367044_EFO_0009767		3.7911601241982105	PCNet2.0
EFO_0022275	1.710356532849253	250.0	Original	Synthetic	GCST90302154_EFO_0022275	36809768_EFO_0022275		3.2724168458328062	PCNet2.0
EFO_0022238	1.159444408277959	119.5567370125413	Original	Synthetic	GCST90269717_EFO_0022238	36809768_EFO_0022238		2.2337138919964143	PCNet2.0
EFO_0007985	1.4154185331371036	136.00445255052486	Original	Synthetic	GCST90002400_EFO_0007985	34375979_EFO_0007985		2.6673710598009053	PCNet2.0
EFO_0022293	1.957314138052592	250.0	Original	Synthetic	GCST90269511_EFO_0022293	36809768_EFO_0022293		3.8833833700859923	PCNet2.0
EFO_0000384	1.6294993138963385	205.06610796423573	Original	Synthetic	GCST90446792_EFO_0000384	34375979_EFO_0000384		3.094056011191267	PCNet2.0
EFO_0009767	1.2957087707833777	117.06529959828458	Synthetic	Synthetic	SYN_GCST90092820_EFO_0009767	SYN_31367044_EFO_0009767		2.4549757448396408	PCNet2.0
