trait_pair	EFO	Common Study	Rare Study	g_C	g_R	nShared	Log2SizeOE	J_RC	jaccard_zero	N_C	N_R	binary	Mean_Constraint	DiffRC_Constraint	Mean_GO	DiffRC_GO	Mean_GeneSize	DiffRC_GeneSize	Mean_mRNA	DiffRC_mRNA	Mean_nTissues	DiffRC_nTissues	density_R	density_C	assortativity_RC
34662886_EFO_0000095_GCST000224_EFO_0000095	EFO_0000095	GCST000224	34662886	4	4	0	0.6854215148770525	0.0	1	1943.0	74229.8	1	0.22336999999999999	1.0668397725746521	39.0	0.8717948717948718	62784.0	-0.43624171763506625	20.838950911574074	1.0777052982071205	39.0	0.7692307692307693	0.3333333333333333	0.1666666666666666	0.0002182426613304
34662886_EFO_0000095_GCST002073_EFO_0000095	EFO_0000095	GCST002073	34662886	9	4	0	1.063675848677012	0.0	1	8400.0	74229.8	1	0.11739711538461538	1.8072319288617182	42.15384615384615	0.43478260869565216	99158.23076923077	-0.8483435532447119	14.185237801994303	1.348675364396461	44.30769230769231	0.2978723404255319	0.3333333333333333	0.3333333333333333	0.0019117484457979
34662886_EFO_0000095_GCST003468_EFO_0000095	EFO_0000095	GCST003468	34662886	17	4	0	0.8324008644045922	0.0	1	10767.0	74229.8	1	0.08659495714285714	1.7139876057645314	23.61904761904762	1.1111111111111112	70705.80952380953	-0.4276454078466386	13.652290679012346	1.0993199796170852	51.57142857142857	0.05714285714285714	0.3333333333333333	0.0588235294117647	0.0006125023247916
34662886_EFO_0000095_GCST004146_EFO_0000095	EFO_0000095	GCST004146	34662886	15	4	0	0.720460802255935	0.0	1	17691.0	74229.8	1	0.09041634210526316	1.7463697199437693	33.89473684210526	0.6666666666666666	70170.42105263157	-0.4276454078466386	13.627241080896685	1.145643569565267	42.1578947368421	0.3225806451612903	0.3333333333333333	0.0476190476190476	0.0005139550062468
34662886_EFO_0000095_GCST90027053_EFO_0000095	EFO_0000095	GCST90027053	34662886	24	4	0	-0.1081029810955067	0.0	1	272843.0	74229.8	1	0.05427750571428571	1.928464938160827	17.857142857142858	1.3185185185185184	77145.07142857143	-0.5000592007516586	9.956523934656085	1.3457096120532173	41.142857142857146	0.3225806451612903	0.3333333333333333	0.0326086956521739	-0.0006282243930483
34375979_EFO_0000096_GCST002643_EFO_0000096	EFO_0000096	GCST002643	34375979	4	8	0	-0.6806968374659561	0.0	1	10486.0	235163.0	1	0.03829883	1.3526942064087182	9.0	0.0	100248.0	-1.771457294557444	18.276806046296297	0.19586908234871475	51.166666666666664	0.1708542713567839	0.0714285714285714	0.0	0.0001336348422036
34375979_EFO_0000198_GCST009516_EFO_0000198	EFO_0000198	GCST009516	34375979	5	14	0	-0.4388523037512452	0.0	1	6512.0	206382.0	1	0.03235726842105263	-0.7620993553722043	17.789473684210527	-0.16216216216216217	124104.36842105263	-1.2904057853436097	12.769769769980508	0.9225234366194629	51.36842105263158	0.20408163265306123	0.2747252747252747	0.0	0.0016595798844775
34375979_EFO_0000217_GCST002638_EFO_0000217	EFO_0000217	GCST002638	34375979	4	23	0	-0.1472949982012974	0.0	1	8738.0	260313.0	1	0.011845711481481482	-1.2202174030338535	12.0	0.0	70957.48148148147	-1.2470230915555063	9.787635217873799	-1.019746780165254	49.74074074074074	0.18181818181818182	0.0079051383399209	0.0	-0.0008086961767519
34375979_EFO_0000266_GCST90276156_EFO_0000266	EFO_0000266	GCST90276156	34375979	9	19	0	0.6858132719506373	0.0	1	653867.0	281104.0	1	0.010647510714285713	-0.061812963539175404	18.642857142857142	-0.10526315789473684	46286.28571428572	-0.6407867296764689	13.375519500462966	-0.09852304476375844	52.0	0.0	0.0175438596491228	0.0555555555555555	0.0009257759991182
34375979_EFO_0000274_GCST001709_EFO_0000274	EFO_0000274	GCST001709	34375979	3	9	0	-0.4209222795846123	0.0	1	9443.0	281104.0	1	0.019508745	1.2921611432454483	14.25	-0.5454545454545454	42453.75	-1.2536731706922624	12.388379785185187	0.08542986622002066	52.5	-0.03773584905660377	0.0	0.0	-0.0005077707098597
