Entrez	Gene Symbol	P-value	Beta
8379	MAD1L1	2e-16	0.051
64116	SLC39A8	2e-14	0.07
56853	CELF4	1e-12	0.037
1630	DCC	3e-11	0.032
3899	AFF3	3e-11	0.033
5137	PDE1C	4e-11	0.033
2066	ERBB4	9e-11	0.034
64771	ILRUN	1e-10	0.035
2918	GRM8	1e-10	0.037
22986	SORCS3	5e-10	0.031
84435	ADGRA1	5e-10	0.035
57578	UNC79	8e-10	0.031
85004	RERG	1e-09	0.031
56252	YLPM1	2e-09	0.029
23373	CRTC1	3e-09	0.036
3097	HIVEP2	4e-09	0.033
11122	PTPRT	9e-09	0.031
5530	PPP3CA	2e-08	0.038
5101	PCDH9	3e-08	0.027
104	ADARB1	3e-08	0.028
