Entrez	n_GO_CC	n_GO_MF	n_GO_BP	n_GO
1	9.0	1.0	1.0	11.0
2	6.0	14.0	11.0	31.0
9	1.0	1.0	1.0	3.0
10	1.0	2.0	1.0	4.0
12	9.0	3.0	5.0	17.0
13	1.0	6.0	3.0	10.0
14	5.0	2.0	4.0	11.0
15	3.0	4.0	14.0	21.0
16	5.0	8.0	10.0	23.0
18	4.0	8.0	26.0	38.0
19	11.0	21.0	34.0	66.0
20	10.0	8.0	33.0	51.0
21	11.0	7.0	22.0	40.0
22	2.0	7.0	9.0	18.0
23	4.0	5.0	2.0	11.0
24	8.0	14.0	10.0	32.0
25	17.0	27.0	121.0	165.0
26	7.0	13.0	8.0	28.0
27	2.0	10.0	19.0	31.0
28	5.0	5.0	3.0	13.0
29	6.0	3.0	4.0	13.0
30	6.0	6.0	6.0	18.0
31	4.0	5.0	9.0	18.0
32	4.0	6.0	14.0	24.0
33	4.0	6.0	10.0	20.0
34	6.0	4.0	13.0	23.0
35	5.0	4.0	3.0	12.0
36	2.0	6.0	2.0	10.0
37	7.0	7.0	8.0	22.0
38	4.0	7.0	16.0	27.0
39	4.0	2.0	2.0	8.0
40	3.0	2.0	19.0	24.0
41	4.0	3.0	16.0	23.0
43	12.0	11.0	14.0	37.0
47	7.0	4.0	8.0	19.0
48	6.0	8.0	7.0	21.0
49	5.0	10.0	7.0	22.0
50	3.0	5.0	6.0	14.0
51	5.0	8.0	11.0	24.0
52	5.0	4.0	1.0	10.0
53	5.0	2.0	2.0	9.0
54	3.0	3.0	15.0	21.0
55	10.0	11.0	9.0	30.0
56	1.0	1.0	1.0	3.0
58	12.0	6.0	11.0	29.0
59	12.0	3.0	13.0	28.0
60	42.0	12.0	41.0	95.0
70	14.0	4.0	11.0	29.0
71	21.0	8.0	19.0	48.0
72	11.0	2.0	2.0	15.0
81	19.0	16.0	15.0	50.0
86	15.0	4.0	37.0	56.0
87	22.0	12.0	11.0	45.0
88	15.0	15.0	20.0	50.0
89	11.0	7.0	20.0	38.0
90	4.0	15.0	47.0	66.0
91	5.0	12.0	20.0	37.0
92	6.0	15.0	24.0	45.0
93	5.0	9.0	35.0	49.0
94	5.0	14.0	50.0	69.0
95	2.0	4.0	1.0	7.0
97	0.0	1.0	1.0	2.0
98	0.0	3.0	1.0	4.0
100	8.0	5.0	56.0	69.0
101	12.0	8.0	28.0	48.0
102	24.0	13.0	29.0	66.0
103	6.0	7.0	23.0	36.0
104	6.0	7.0	21.0	34.0
105	2.0	7.0	3.0	12.0
107	10.0	5.0	16.0	31.0
108	5.0	5.0	6.0	16.0
109	6.0	4.0	10.0	20.0
111	3.0	5.0	12.0	20.0
112	4.0	6.0	13.0	23.0
113	2.0	3.0	9.0	14.0
114	20.0	12.0	30.0	62.0
115	5.0	3.0	6.0	14.0
116	3.0	5.0	19.0	27.0
117	9.0	8.0	16.0	33.0
118	11.0	10.0	7.0	28.0
119	7.0	9.0	9.0	25.0
120	9.0	3.0	2.0	14.0
123	6.0	1.0	7.0	14.0
124	3.0	6.0	4.0	13.0
125	3.0	3.0	4.0	10.0
126	3.0	4.0	3.0	10.0
127	2.0	13.0	9.0	24.0
128	3.0	9.0	11.0	23.0
130	2.0	4.0	4.0	10.0
131	2.0	9.0	7.0	18.0
132	4.0	5.0	8.0	17.0
133	3.0	3.0	43.0	49.0
134	14.0	8.0	55.0	77.0
135	12.0	8.0	54.0	74.0
136	4.0	3.0	17.0	24.0
140	5.0	1.0	11.0	17.0
141	2.0	4.0	2.0	8.0
142	16.0	29.0	59.0	104.0
143	8.0	6.0	7.0	21.0
146	1.0	3.0	9.0	13.0
147	5.0	3.0	12.0	20.0
148	15.0	3.0	40.0	58.0
150	11.0	12.0	43.0	66.0
151	4.0	3.0	17.0	24.0
152	3.0	6.0	13.0	22.0
153	4.0	8.0	15.0	27.0
154	12.0	9.0	33.0	54.0
155	3.0	7.0	18.0	28.0
156	7.0	8.0	17.0	32.0
157	5.0	6.0	5.0	16.0
158	2.0	3.0	12.0	17.0
159	4.0	5.0	8.0	17.0
160	12.0	4.0	7.0	23.0
161	12.0	6.0	4.0	22.0
162	9.0	3.0	8.0	20.0
163	13.0	4.0	9.0	26.0
164	16.0	5.0	11.0	32.0
165	6.0	7.0	4.0	17.0
166	1.0	2.0	12.0	15.0
167	2.0	1.0	3.0	6.0
173	5.0	2.0	3.0	10.0
174	3.0	2.0	4.0	9.0
175	5.0	3.0	2.0	10.0
176	7.0	6.0	5.0	18.0
177	7.0	11.0	49.0	67.0
178	9.0	7.0	4.0	20.0
181	3.0	3.0	11.0	17.0
182	5.0	7.0	45.0	57.0
183	6.0	6.0	85.0	97.0
185	2.0	5.0	30.0	37.0
186	1.0	3.0	28.0	32.0
187	1.0	4.0	27.0	32.0
189	4.0	9.0	8.0	21.0
190	9.0	9.0	17.0	35.0
191	3.0	2.0	2.0	7.0
196	10.0	17.0	23.0	50.0
197	10.0	3.0	10.0	23.0
199	11.0	4.0	40.0	55.0
202	1.0	2.0	1.0	4.0
203	4.0	4.0	7.0	15.0
204	5.0	3.0	6.0	14.0
205	3.0	7.0	11.0	21.0
207	16.0	20.0	136.0	172.0
208	9.0	6.0	33.0	48.0
210	6.0	5.0	29.0	40.0
211	5.0	4.0	5.0	14.0
212	3.0	3.0	8.0	14.0
213	11.0	12.0	7.0	30.0
214	8.0	3.0	8.0	19.0
215	9.0	12.0	24.0	45.0
