Entrez	Mean_mRNA	n_Expressed
4513.0	38876.08055555555	54
4514.0	37999.582962962966	54
4508.0	37320.01462962962	54
4538.0	36013.38703703704	54
4512.0	33648.46074074075	54
4550.0	27255.835555555554	54
4519.0	23365.43481481482	54
4536.0	22732.538888888885	54
4535.0	22016.55277777777	54
4509.0	21232.51925925926	54
4537.0	16790.216296296298	54
4539.0	16010.162592592598	54
4549.0	7410.206129629634	54
4541.0	6144.959462962964	54
4540.0	6056.416055555555	54
3043.0	5208.11425425926	54
2512.0	4343.366555555556	54
106480796.0	3910.6936481481484	54
60.0	3464.5852037037016	54
6222.0	2582.95762962963	54
23521.0	2357.0060555555556	54
6206.0	2127.335611111111	54
6205.0	2029.417518518519	54
1915.0	1973.517074074074	54
5645.0	1836.6102378092587	40
6134.0	1789.3763333333336	54
6176.0	1721.6167777777775	54
6280.0	1696.5382683333332	54
1674.0	1679.0808364814818	54
9168.0	1626.8213333333333	54
3040.0	1584.8826025370372	53
7114.0	1542.9148888888888	54
71.0	1506.0530740740742	54
5644.0	1461.1415508722223	38
3514.0	1437.9046683333331	54
6217.0	1426.3795925925922	54
6143.0	1410.541962962963	54
6122.0	1397.892851851852	54
6230.0	1355.3460555555557	54
6232.0	1348.787481481481	54
2495.0	1340.493018518518	54
6133.0	1324.9615000000003	54
3106.0	1317.9661111111113	54
2597.0	1309.3550740740745	54
6132.0	1283.7940555555551	54
6125.0	1260.6865185185186	54
1937.0	1233.1889444444441	54
1938.0	1172.2423148148146	54
6175.0	1155.1914444444444	54
6187.0	1131.3929999999998	54
567.0	1101.3633148148144	54
5967.0	1085.187825037037	36
6194.0	1074.9094444444443	54
6181.0	1072.1045185185185	54
6876.0	1037.4935120370371	54
10398.0	1031.1920014814812	54
5617.0	1025.3625800425928	17
6233.0	1014.9366666666664	54
6207.0	994.8573888888885	54
6130.0	990.8419074074075	54
2688.0	983.594166103704	22
6139.0	976.8952592592592	54
6277.0	973.5685037037039	54
11224.0	971.799537037037	54
1357.0	955.4413180333335	34
6189.0	923.9365925925928	54
59.0	889.7392492592592	54
3860.0	881.0805981296295	42
10410.0	876.2440592592591	54
3858.0	850.7567574074075	54
4629.0	843.493202037037	54
6124.0	837.9127592592589	54
3315.0	837.4578759259259	54
4256.0	830.9655485185186	54
6152.0	829.9322037037035	54
2878.0	827.5472227777776	54
5660.0	819.6920185185188	54
2316.0	802.9117296296297	54
10628.0	799.4896851851853	54
1208.0	796.5620186481482	29
6144.0	791.5235370370375	54
3956.0	787.3390999999998	54
4736.0	784.9088703703704	54
6201.0	771.0500370370372	54
6202.0	766.2622592592592	54
100652939.0	764.0434962962962	54
3107.0	760.9297462962963	54
6164.0	746.623112962963	54
3105.0	733.5454259259257	54
347.0	732.4130894444442	54
3326.0	719.4307037037034	54
3921.0	718.100185185185	54
58.0	684.0036070740742	52
5225.0	678.1566477777777	26
7169.0	674.3950320370371	54
2335.0	672.7377161111112	54
6155.0	660.472277777778	54
8404.0	658.754042777778	54
7431.0	654.9599092592593	54
805.0	653.3915907407408	54
6191.0	642.6090740740739	54
2023.0	641.9467037037035	54
3490.0	637.4877320370371	54
972.0	631.2349938888888	54
6141.0	630.6142777777778	54
4946.0	628.4985185185186	54
6135.0	621.7971111111112	54
6159.0	614.8625370370371	54
7178.0	608.0740185185183	54
3493.0	601.1741242592593	54
2934.0	589.7279111111112	54
1158.0	585.3312929814815	50
5037.0	584.7778685185185	54
6204.0	584.5844074074075	54
5406.0	582.645733987037	26
3487.0	581.4181535185187	54
6128.0	573.9297407407407	54
6169.0	573.7997222222222	54
28950.0	571.3638794444444	54
3133.0	565.4949518518519	54
6678.0	565.4875851851851	54
3848.0	563.2240507222223	46
4589.0	561.7654092259261	3
1191.0	558.5140214814816	54
1465.0	557.9927333333333	54
6129.0	554.0171777777779	54
6282.0	551.8207944444446	54
5730.0	548.4812331481482	54
5443.0	545.4398969444445	53
1291.0	541.3250862962964	54
6209.0	540.7338148148145	54
1292.0	539.6606612962962	54
1843.0	537.8050657407406	54
388.0	536.896925925926	54
4878.0	535.9485413518518	51
8513.0	534.6827611740741	23
226.0	529.6024870370371	54
6234.0	520.8938703703706	54
6208.0	516.5766296296295	54
5757.0	512.2765296296297	54
689.0	509.0317037037036	54
1152.0	507.9721392592592	54
6171.0	507.9151296296295	54
6137.0	506.4342222222223	54
6279.0	498.376297962963	54
10136.0	497.8260745092593	29
4633.0	495.7284575740739	50
6154.0	488.18118148148136	54
348.0	487.1816575925928	54
506.0	486.64246296296307	54
28949.0	483.3198789444445	49
6218.0	482.1475629629629	54
633.0	480.5196959259258	54
213.0	475.1941791111111	42
6136.0	472.74541296296275	54
1509.0	470.7236481481482	54
5204.0	470.2682222222223	54
6193.0	469.0127592592592	54
2950.0	468.45244629629633	54
1933.0	463.99794074074083	54
2670.0	463.2744496666666	25
25873.0	450.2753888888888	54
6224.0	446.725611111111	54
6161.0	443.1432222222222	54
72.0	442.08186688888884	43
3488.0	440.99810005555554	52
7538.0	440.1114999999999	54
293.0	437.19609814814817	54
4904.0	436.6801574074073	54
4502.0	432.98965555555577	54
4637.0	432.6432055555556	54
1974.0	430.23036111111116	54
6227.0	429.3450925925926	54
1351.0	425.8685925925926	54
3851.0	424.3135340518519	35
10209.0	423.5608703703703	54
3320.0	414.8266666666667	54
3852.0	414.6595693888888	46
3181.0	411.5187962962963	54
5620.0	410.07822691851857	14
4725.0	405.27019259259254	54
28947.0	403.76257733333335	47
715.0	403.06862574074074	54
3021.0	402.69348703703696	54
2197.0	399.24412962962964	54
5619.0	396.69417807407405	8
7555.0	396.68585185185185	54
682.0	393.1709833333333	54
387.0	389.84610370370365	54
5763.0	386.4659925925925	54
6165.0	381.7445499999999	54
811.0	381.07632777777764	54
10399.0	380.8366351851851	54
2167.0	379.29937874074085	49
29997.0	379.14420740740746	54
3312.0	378.2290740740741	54
10581.0	378.15960740740735	54
710.0	376.4583050000001	54
6229.0	375.92508703703703	54
6590.0	375.151775425926	53
975.0	373.98572962962965	54
3945.0	373.61516111111115	54
5315.0	372.6289870370371	54
11034.0	368.78115740740753	54
440387.0	368.34826184074075	23
5216.0	367.4345296296297	54
967.0	366.3641203703705	54
3122.0	365.1427920370371	54
7078.0	364.30267937037047	53
2.0	363.5637477777777	54
51142.0	361.119351851852	54
7184.0	359.3128333333333	54
4155.0	358.97834462962936	54
37.0	358.7370185185185	54
6142.0	357.1479851851851	54
468.0	349.23065555555553	54
6166.0	349.16083333333336	54
166.0	345.2521666666667	54
6188.0	344.60522592592594	54
1410.0	343.5124931481481	54
1337.0	342.49538333333334	54
5319.0	340.2093452222221	21
9349.0	340.0908629629629	54
1504.0	339.3048984222223	20
3861.0	338.18772897407405	42
10521.0	337.2980185185186	54
8682.0	335.31082407407405	54
7001.0	334.7434925925926	54
25824.0	332.29249999999996	54
6173.0	331.93173333333334	54
6707.0	329.0348461185185	31
1675.0	327.8146640740742	54
6138.0	327.5355222222223	54
5479.0	327.39889259259274	54
3726.0	327.25253888888886	54
26986.0	327.1869370370371	54
79144.0	327.1747703703705	54
1655.0	326.92001296296297	54
808.0	325.4709870370371	54
4869.0	323.4153314814815	54
4151.0	320.6821032592591	46
308.0	320.1841648148148	54
6223.0	316.36445370370353	54
3045.0	312.05144248888894	23
