	EFO	GBD	Cosine	Keep
312	acne	Acne vulgaris	0.79516685	1
85	hepatitis	Acute hepatitis	0.8160328	1
254	hepatitis B virus infection	Acute hepatitis B	0.8430701	1
270	apolipoprotein B measurement	Acute hepatitis B	0.29724538	0
96	severe aplastic anemia	Acute myeloid leukemia	0.49986807	0
296	monocyte percentage of leukocytes	Acute myeloid leukemia	0.30932614	0
98	hearing loss	Age-related and other hearing loss	0.7400385	1
94	alopecia areata	Alopecia areata	1	1
73	androgenetic alopecia	Alopecia areata	0.7608104	0
148	Alzheimer disease	Alzheimer's disease and other dementias	0.80480146	1
64	dementia	Alzheimer's disease and other dementias	0.69959354	0
34	anxiety disorder	Anxiety disorders	0.9681343	1
111	panic disorder	Anxiety disorders	0.7681592	0
25	obsessive-compulsive disorder	Anxiety disorders	0.60633296	0
44	insomnia	Anxiety disorders	0.3993159	0
322	astigmatism	Ascariasis	0.46394026	0
50	strabismus	Ascariasis	0.4430228	0
134	asthma	Asthma	0.99999976	1
354	Chronic Obstructive Asthma	Asthma	0.7362299	0
68	allergic rhinitis	Asthma	0.5837346	0
117	emphysema	Asthma	0.5615897	0
303	atopic eczema	Atopic dermatitis	0.8301214	0
118	atrial fibrillation	Atrial fibrillation and flutter	0.81473076	1
229	cardiac arrhythmia	Atrial fibrillation and flutter	0.52018046	0
2	autism spectrum disorder	Autism spectrum disorders	0.9528539	1
362	susceptibility to rubella infection measurement	Bacterial skin diseases	0.4025646	0
331	dysplasia of cervix	Benign and in situ cervical and uterine neoplasms	0.61722636	0
48	benign prostatic hyperplasia	Benign prostatic hyperplasia	1.0000001	1
15	bipolar disorder	Bipolar disorder	1.0000002	1
284	urinary bladder carcinoma	Bladder cancer	0.8624908	1
32	breast cancer	Breast cancer	1	1
54	cardiovascular disease	Cardiovascular diseases	0.96701145	1
122	coronary artery disease	Cardiovascular diseases	0.7555229	0
55	heart failure	Cardiovascular diseases	0.61855596	0
128	angina pectoris	Cardiovascular diseases	0.44210133	0
262	cholesterol in very large VLDL measurement	Cardiovascular diseases	0.33478963	0
260	cholesterol in large VLDL measurement	Cardiovascular diseases	0.33016282	0
365	remnant cholesterol measurement	Cardiovascular diseases	0.3291884	0
249	free cholesterol in VLDL measurement	Cardiovascular diseases	0.3279668	0
227	free cholesterol in large VLDL measurement	Cardiovascular diseases	0.32733768	0
235	free cholesterol in very large VLDL measurement	Cardiovascular diseases	0.32547253	0
279	low density lipoprotein cholesterol measurement	Cardiovascular diseases	0.32299134	0
268	cholesterol in very large HDL measurement	Cardiovascular diseases	0.32064414	0
323	lipoprotein A measurement	Cardiovascular diseases	0.31726965	0
252	cholesterol in medium VLDL measurement	Cardiovascular diseases	0.31698096	0
225	cholesterol in very small VLDL measurement	Cardiovascular diseases	0.31603813	0
275	cholesterol in large HDL measurement	Cardiovascular diseases	0.31352913	0
197	free cholesterol in medium VLDL measurement	Cardiovascular diseases	0.31343177	0
223	free cholesterol in very small VLDL measurement	Cardiovascular diseases	0.30887234	0
