	Reported Trait	DISEASE/TRAIT	MAPPED_TRAIT_CLEAN_C	MAPPED_TRAIT_CLEAN_R	trait_type	Domain	Cosine_R	Cosine_C	CosineRC	Keep
0	Isolated proteinuria	Proteinuria	proteinuria	proteinuria	CC	Renal	0.87141615	1.0000005	0.87141615	1
1	Neutrophil count	Neutrophil count	neutrophil count	neutrophil count	Q	Immunological	1.0000004	1.0000004	1.0000002	1
2	Autism spectrum disorder	Autism spectrum disorder	autism spectrum disorder	autism spectrum disorder	CC	Psychiatric	1.0000002	1.0000002	1.0000001	1
3	Tuberculosis (tb	Pulmonary tuberculosis	pulmonary tuberculosis	pulmonary tuberculosis	CC	Infection	0.86746013	1.0000002	0.8674605	1
4	Pulmonary embolism	Pulmonary embolism	pulmonary embolism	pulmonary embolism	CC	Cardiovascular	1.0000002	1.0000002	1.0000001	1
5	Gastro-oesophageal reflux disease	Gastroesophageal reflux disease	gastroesophageal reflux disease	gastroesophageal reflux disease	CC	Gastrointestinal	0.9658337	1.0000002	0.96583366	1
6	Other hypothyroidism	Hypothyroidism	hypothyroidism	hypothyroidism	CC	Endocrine	0.952587	1.0000002	0.952587	1
7	Barrett's oesophagus	Barrett's esophagus	Barrett's esophagus	Barrett's esophagus	CC	Gastrointestinal	0.9367394	1.0000002	0.9367394	1
8	Bacterial meningitis| not elsewhere classified	Bacterial meningitis	bacterial meningitis	bacterial meningitis	CC	Infection	0.8900169	1.0000002	0.8900169	1
9	Endometriosis	Endometriosis	endometriosis	endometriosis	CC	Reproductive	1	1.0000002	1	1
10	Abnormalitof white blood cells| not elsewhere classified	Granulocyte percentage of myeloid white cells	granulocyte percentage of myeloid white cells	granulocyte percentage of myeloid white cells	Q	Immunological	0.5166899	1.0000002	0.51668984	0
11	Varicose veins	Varicose veins	Varicose veins	Varicose veins	CC	Cardiovascular	1.0000002	1.0000002	1.0000002	1
12	Mean corpuscular haemoglobin concentration	Mean corpuscular hemoglobin concentration	mean corpuscular hemoglobin concentration	mean corpuscular hemoglobin concentration	Q	Hematological	0.9555088	1.0000002	0.9555088	1
13	Total Lipids in Small LDL	Total lipids in small LDL	total lipids in small LDL	total lipids in small LDL	Q	Metabolic	0.9970038	1.0000002	1.0000002	1
14	Total Lipids in IDL	Total lipids in IDL	total lipids in IDL	total lipids in IDL	Q	Metabolic	0.996796	1.0000002	0.99999976	1
15	Spondylosis	Spondylosis	spondylosis	spondylosis	CC	Skeletal	1.0000002	1.0000002	1.0000002	1
16	Bipolar affective disorder	Bipolar disorder	bipolar disorder	bipolar disorder	CC	Psychiatric	0.8998481	1.0000002	0.8998481	1
17	Multiple sclerosis	Multiple sclerosis	multiple sclerosis	multiple sclerosis	CC	Neurological	1.0000002	1.0000002	1.0000002	1
18	Pain| unspecified	Pain	pain	pain	CC	Pain	0.7446017	1.0000002	0.7446017	1
19	Body_fat_percentage	Body fat percentage	body fat percentage	body fat percentage	Q	Anthropometric	0.891474	1.0000002	0.891474	1
20	Autoimmune thyroiditis	Autoimmune thyroid disease	autoimmune thyroid disease	autoimmune thyroid disease	CC	Immunological	0.9558911	1.0000002	0.9558912	1
21	Duodenal ulcer	Duodenal ulcer	duodenal ulcer	duodenal ulcer	CC	Gastrointestinal	1.0000002	1.0000002	1.0000002	1
22	Mean reticulocyte volume	Mean reticulocyte volume	mean reticulocyte volume	mean reticulocyte volume	Q	Hematological	1.0000002	1.0000002	1.0000002	1
23	Chronic mucoid otitis media	Otitis media	otitis media	otitis media	CC	EarNoseThroat	0.7611385	1.0000002	0.76113844	1
24	Other chronic obstructive pulmonary disease	Chronic obstructive pulmonary disease	chronic obstructive pulmonary disease	chronic obstructive pulmonary disease	CC	Respiratory	0.9402597	1.0000002	0.9402597	1
25	Osteoporosis	Osteoporosis	osteoporosis	osteoporosis	CC	Skeletal	1	1.0000001	0.99999994	1
26	Obsessive-compulsive disorder	Obsessive-compulsive disorder	obsessive-compulsive disorder	obsessive-compulsive disorder	CC	Psychiatric	1.0000001	1.0000001	1	1
27	Total Lipids in Medium VLDL	Total lipids in medium VLDL	total lipids in medium VLDL	total lipids in medium VLDL	Q	Metabolic	0.99760324	1.0000001	1.0000001	1
28	Glaucoma	Glaucoma	glaucoma	glaucoma	CC	Opthamological	1	1.0000001	1.0000001	1
29	Chronic renal failure	Chronic kidney disease	chronic kidney disease	chronic kidney disease	CC	Renal	0.7962861	1.0000001	0.796286	1
30	Mitral (valve prolapse	Mitral valve prolapse	Mitral valve prolapse	Mitral valve prolapse	CC	Cardiovascular	0.9763973	1.0000001	0.9763972	1
31	Lung cancer	Lung cancer	lung cancer	lung cancer	CC	Neoplasm	1.0000001	1.0000001	1	1
32	Back pain	Back pain	back pain	back pain	CC	Pain	1.0000001	1.0000001	1.0000001	1
33	Breast cancer	Breast cancer	breast cancer	breast cancer	CC	Neoplasm	1.0000001	1.0000001	1	1
34	Melanoma and other malignant neoplasms of skin	Melanoma	melanoma	melanoma	CC	Neoplasm	0.7311989	1.0000001	0.7311989	1
35	Other anxiety disorders	Anxiety disorder	anxiety disorder	anxiety disorder	CC	Psychiatric	0.8494811	1.0000001	0.8494812	1
36	Epilepsy	Epilepsy	epilepsy	epilepsy	CC	Neurological	1.0000001	1.0000001	1.0000001	1
37	Meningitis	Meningitis	meningitis	meningitis	CC	Infection	1.0000001	1.0000001	1.0000001	1
38	Psoriasis	Psoriasis	psoriasis	psoriasis	CC	Dermatological	1.0000002	1.0000001	1.0000001	1
39	Irritable bowel syndrome	Irritable bowel syndrome	irritable bowel syndrome	irritable bowel syndrome	CC	Gastrointestinal	1.0000001	1.0000001	1.0000002	1
40	Vertigo	Vertigo	Vertigo	Vertigo	CC	Neurological	1.0000001	1.0000001	1.0000001	1
41	Basal cell carcinoma| nos	Basal cell carcinoma	basal cell carcinoma	basal cell carcinoma	CC	Neoplasm	0.9328932	1.0000001	0.9328932	1
42	Diastolic_blood_pressure_automated_reading	Diastolic blood pressure	diastolic blood pressure	diastolic blood pressure	Q	Cardiovascular	0.67848814	1.0000001	0.678488	1
43	Adenocarcinoma| nos	Lung adenocarcinoma	lung adenocarcinoma	lung adenocarcinoma	CC	Neoplasm	0.60915685	1.0000001	0.60915685	1
44	Thyroid cancer	Thyroid cancer	thyroid cancer	thyroid cancer	CC	Neoplasm	1.0000001	1.0000001	1.0000001	1
45	Insomnia	Insomnia	insomnia	insomnia	CC	Psychiatric	1.0000001	1.0000001	1.0000001	1
46	Schizophrenia	Schizophrenia	schizophrenia	schizophrenia	CC	Psychiatric	1.0000001	1.0000001	1.0000002	1
47	Renal cell carcinoma	Renal cell carcinoma	renal cell carcinoma	renal cell carcinoma	CC	Neoplasm	1.0000001	1.0000001	1.0000001	1
48	Blood BASOPHIL COUNT	Basophil count	basophil count	basophil count	Q	Immunological	0.9035178	1.0000001	0.9035178	1
49	Hyperplasia of prostate	Benign prostatic hyperplasia	benign prostatic hyperplasia	benign prostatic hyperplasia	CC	Reproductive	0.8351908	1.0000001	0.8351909	1
50	Red blood cell (erythrocyte) distribution width	Red cell distribution width	red cell distribution width	red cell distribution width	Q	Hematological	0.7892389	1.0000001	0.7892389	1
51	Other strabismus	Strabismus	strabismus	strabismus	CC	Opthamological	0.91605043	1.0000001	0.91605043	1
52	Erectile d| impotence	Erectile dysfunction	erectile dysfunction	erectile dysfunction	CC	Reproductive	0.71497846	1.0000001	0.71497834	1
53	Vitiligo	Vitiligo	vitiligo	vitiligo	CC	Dermatological	1	1	1	1
54	Ulcerative colitis	Ulcerative colitis	ulcerative colitis	ulcerative colitis	CC	Gastrointestinal	1	1	1	1
