GeneSet	Tissue	Log10PValue	Tissue.Specific.Genes	fold.change	samples	NotIdentifiedCount
34375979_EFO_0004533_GCST90025947_EFO_0004533	Adipose Tissue	0	0	0	5	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Adrenal Gland	0	0	0	3	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Appendix	0	0	0	3	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Bone Marrow	0	0	0	4	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Breast	0	0	0	4	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Cerebral Cortex	0	0	0	3	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Cervix, uterine	0	0	0	2	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Colon	0.537420789479082	1	15.0270700636943	13	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Duodenum	1.13204430756555	2	14.8380503144654	2	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Endometrium	0	0	0	5	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Esophagus	0	0	0	3	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Fallopian Tube	0	0	0	5	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Gallbladder	0	0	0	3	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Heart Muscle	0	0	0	4	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Kidney	1.13204430756555	2	14.0014836795252	9	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Liver	6.94381113881887	6	33.5438388625592	10	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Lung	0.537420789479082	1	12.9629120879121	9	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Lymph Node	0	0	0	5	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Ovary	0	0	0	3	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Pancreas	0.670146986655857	1	32.3184931506849	2	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Placenta	0	0	0	8	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Prostate	0	0	0	9	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Rectum	0.537420789479082	1	14.0431547619048	4	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Salivary Gland	0	0	0	3	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Seminal Vesicle	0	0	0	3	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Skeletal Muscle	0	0	0	5	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Skin	0	0	0	3	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Small Intestine	1.13204430756555	2	13.8779411764706	4	0
