	Cite	MisSyn	Disgen	pli	omim	Length	GO	CDS	mrna	n_mrna	Set
34244158_MONDO_0004986	53.0	0.26958000000000004	2.5	1.1003500000000002	0.0	64007.0	12.0	1315.0	5.073262201851853	52.0	Rare
34375979_MONDO_0005277	45.0	-0.68717	4.0	1.1671	0.0	40270.0	11.0	1566.0	9.95711025925926	53.0	Rare
32492392_EFO_0001073	55.0	0.2289	3.0	2.9823	0.0	54188.5	17.0	2019.0	9.936465555555554	54.0	Rare
34226706_EFO_0004570	89.0	-0.064301	31.0	1.6132499999999999	0.0	60393.0	17.0	1605.0	1.057578914814815	7.0	Rare
30175238_EFO_0004312	31.0	-0.67495	5.0	0.51479	0.0	18959.0	14.0	1287.0	8.706008242592596	37.0	Rare
36809768_EFO_0022341	54.0	0.0010979	5.0	1.2537	0.0	25010.0	17.0	1556.0	12.557389944444443	52.0	Rare
37262146_EFO_0007800	187.0	-0.408875	29.0	1.715395	1.0	37312.0	21.0	1295.0	14.263945462962962	51.5	Rare
34662886_EFO_0007991	214.0	-0.06895	27.5	1.7037	1.0	45042.5	19.5	1671.0	7.004252385185185	50.5	Rare
36809768_EFO_0022304	111.0	-0.16172	14.0	0.92924	0.0	23264.0	17.0	1191.0	9.98522053703704	50.0	Rare
36809768_EFO_0022332	122.0	0.071541	19.0	0.92924	0.0	29730.0	22.0	1546.0	12.01094651851852	52.0	Rare
34375979_MONDO_0004986	23.0	-0.0066612	5.0	0.41482	0.0	73907.0	6.0	1114.0	3.725539945185186	18.0	Rare
36280733_EFO_0004340	88.0	-0.54102	14.0	0.48989	0.0	36601.0	13.0	888.0	9.722717037037036	42.0	Rare
34375979_EFO_0000217	45.0	0.20387	3.0	1.8336	0.0	47600.0	12.0	1399.0	7.48156412962963	51.0	Rare
34375979_EFO_0004207	125.5	0.32962499999999995	5.5	3.60775	0.0	24556.0	16.0	2497.5	0.9880280574074074	12.5	Rare
34662886_EFO_0004527	123.0	0.078645	19.0	3.0754	1.0	42023.0	22.5	1894.5	12.518264174999999	54.0	Rare
36280733_EFO_0004574	163.0	0.09217349999999999	36.0	0.642925	1.5	37694.5	31.5	2219.5	8.693063275925926	11.5	Rare
34375979_EFO_0004261	35.0	0.47598	4.0	0.14563	0.0	14224.0	12.0	1155.0	9.427770103703704	44.0	Rare
34375979_EFO_0003884	103.0	0.00054384	14.0	1.9855	0.0	47190.0	15.0	1336.0	13.734663185185187	53.0	Rare
34375979_EFO_0005531	34.0	-0.06668500000000001	1.0	1.6158000000000001	0.0	41352.5	11.5	1516.5	5.4257733888888895	51.0	Rare
36809768_EFO_0022254	111.0	0.069172	9.0	1.1	0.0	22783.0	17.0	1272.0	10.411673648148149	47.0	Rare
34375979_MONDO_0002253	49.0	-0.13806000000000002	2.0	1.72465	0.0	33170.0	13.0	1292.0	17.089006111111114	54.0	Rare
36809768_EFO_0022228	105.5	-0.03242215	8.5	1.073	0.0	26302.5	19.0	1487.0	11.90972556574074	49.5	Rare
34244158_MONDO_0005575	50.0	0.45204	6.0	1.5393	0.0	34028.0	15.0	2315.0	7.1816275740740725	45.0	Rare
34375979_EFO_0004274	46.0	0.35658	4.0	1.3439	0.0	36046.0	16.0	1332.0	7.144505301851854	49.0	Rare
36809768_EFO_0022241	334.0	0.063051	32.0	1.3344	2.0	29730.0	29.0	1443.0	10.411673648148149	23.0	Rare
34662886_EFO_0004587	118.0	-0.72048	24.0	2.3168	1.0	46564.0	18.0	2181.0	20.13723277777777	54.0	Rare
37262146_EFO_0004570	124.0	0.017838	26.0	1.7278	1.0	45700.0	20.0	1605.0	2.201410181481481	10.0	Rare
34375979_EFO_0000649	21.0	0.41206	2.0	1.0674	0.0	45491.0	12.0	1051.0	7.986933471296297	44.5	Rare
36088354_EFO_0004533	63.0	0.36254	12.0	2.8529	0.0	103570.0	23.0	2523.0	22.069111666666664	48.0	Rare
36809768_EFO_0022267	79.0	0.10317	8.0	1.959	0.0	25292.0	21.0	1338.0	20.85198814814814	53.0	Rare
36809768_EFO_0022302	97.0	0.0010979	10.0	1.02	0.0	24817.0	16.0	1428.0	14.460438888888891	52.0	Rare
34226706_EFO_0010701	55.0	-0.041713	4.0	1.196885	0.0	23641.5	13.0	1242.0	10.317815305555555	52.5	Rare
36809768_EFO_0022282	84.0	0.10317	9.0	1.56815	1.0	24505.0	23.0	1357.0	13.96586651851852	53.0	Rare
34375979_EFO_0004698	29.0	0.099457	4.0	1.1349	0.0	37817.0	16.0	1777.0	7.439048038888889	12.0	Rare
34375979_MONDO_0005180	77.0	-0.083039	8.0	0.97355	0.0	16100.0	10.0	1054.0	14.1670987037037	54.0	Rare
