trait_pair	N_R	N_C	Cosine_R	Cosine_C	log2SizeOE	logp_size	n_common	n_rare	n_overlap	pval	trait_type	jaccard	binary	jaccard_zero	Gene_ratioRC	overlap_logp
34226706_EFO_0004833_GCST90002355_EFO_0004833	443782.0	627215.0	0.9341066	1.0000004	1.3121890579439857	134.33385657270844	200	22	1	0.0221787245985685	Q	0.004524886877828055	0	0	0.11	1.6540634318446488
34662886_EFO_0004833_GCST90002355_EFO_0004833	418407.1590909091	627215.0	0.90755975	1.0000004	1.5517015050632128	250.0	200	16	5	9.257338812934569e-09	Q	0.023696682464454975	0	0	0.08	8.03351384106761
28089252_EFO_0004833_GCST90025977_EFO_0004833	1860.0	443782.0	1.0000004	1.0000004	1.387721651712381	157.04992737024983	9	7	0	0.0033116034589786	Q	0.0	0	1	0.7777777777777778	2.479961672457154
34226706_EFO_0004833_GCST90025977_EFO_0004833	443782.0	443782.0	0.9341066	1.0000004	1.993424468436801	250.0	9	22	6	3.460779171657309e-20	Q	0.24	0	0	2.4444444444444446	19.460826111653688
34662886_EFO_0004833_GCST90025977_EFO_0004833	418407.1590909091	443782.0	0.90755975	1.0000004	2.285295330980972	250.0	9	16	6	2.3227565720958706e-21	Q	0.3157894736842105	0	0	1.7777777777777777	20.633996302440433
28089252_EFO_0004833_GCST90018968_EFO_0004833	1860.0	432666.0	1.0000004	1.0000004	0.720523593564004	27.86838133565088	180	7	0	0.0644703958965698	Q	0.0	0	1	0.03888888888888889	1.190639662886959
34226706_EFO_0004833_GCST90018968_EFO_0004833	443782.0	432666.0	0.9341066	1.0000004	0.9367774576505148	49.91721462968355	180	22	3	4.986912214682511e-05	Q	0.01507537688442211	0	0	0.12222222222222222	4.302168276661231
34662886_EFO_0004833_GCST90018968_EFO_0004833	418407.1590909091	432666.0	0.90755975	1.0000004	1.2586257620844588	127.90833304240432	180	16	3	1.2971743730659496e-05	Q	0.015544041450777202	0	0	0.08888888888888889	4.887001639821747
28089252_EFO_0004833_GCST004629_EFO_0004833	1860.0	170702.0	1.0000004	1.0000004	0.90500249717841	57.03484535401307	73	7	0	0.0265908675915222	Q	0.0	0	1	0.0958904109589041	1.5752674925268864
34226706_EFO_0004833_GCST004629_EFO_0004833	443782.0	170702.0	0.9341066	1.0000004	1.148165262206426	80.58452583189076	73	22	0	0.0812452330588926	Q	0.0	0	1	0.3013698630136986	1.0902021111731113
34662886_EFO_0004833_GCST004629_EFO_0004833	418407.1590909091	170702.0	0.90755975	1.0000004	1.418134794160257	192.0222763947112	73	16	3	3.5240842409322817e-07	Q	0.03488372093023256	0	0	0.2191780821917808	6.452953718609944
28089252_EFO_0004833_GCST90448621_EFO_0004833	1860.0	38000.0	1.0000004	1.0000004	-0.0057006171882239	0.0256264929185768	7	7	0	0.002576505098056	Q	0.0	0	1	1.0	2.5889689938761458
34226706_EFO_0004833_GCST90448621_EFO_0004833	443782.0	38000.0	0.9341066	1.0000004	0.6259772351095352	17.023054249440758	7	22	0	0.008078433507106	Q	0.0	0	1	3.142857142857143	2.092672845311559
