	varset	subnetwork_density	n_components	average_degree	subnetwork_average_degree	clustering	subnetwork_clustering	assortativity	average_path	subnetAssort	n_rare	n_common	n_overlap	trait_pair
0	rare	0.3333333333333333	2	1872.25	1.0	0.2648984536721194	0.0	-0.0004383720625759	1.6666666666666667		4	9	0	34662886_EFO_0000095_GCST002073_EFO_0000095
1	common	0.3333333333333333	2	420.1111111111111	2.6666666666666665	0.3095677042091766	0.5	0.0058596338615061	1.7222222222222223		4	9	0	34662886_EFO_0000095_GCST002073_EFO_0000095
2	overlap	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0		4	9	0	34662886_EFO_0000095_GCST002073_EFO_0000095
3	rare_common	0.2435897435897435	1	866.9230769230769	2.923076923076923	0.2892634994196051	0.3076923076923077	0.0019117484457979	1.794871794871795	0.2720306513409959	4	9	0	34662886_EFO_0000095_GCST002073_EFO_0000095
4	rare	0.0714285714285714	6	657.375	0.5	0.3115984377709043	0.0	7.804265935021018e-05	2.25		8	4	0	34375979_EFO_0000096_GCST002643_EFO_0000096
5	common	0.0	4	261.25	0.0	0.2598650626639535	0.0	-0.0001356580661861	2.333333333333333		8	4	0	34375979_EFO_0000096_GCST002643_EFO_0000096
6	overlap	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0		8	4	0	34375979_EFO_0000096_GCST002643_EFO_0000096
7	rare_common	0.0454545454545454	9	525.3333333333334	0.5	0.2996599665923771	0.0	0.0001336348422036	2.242424242424242	-0.1999999999999996	8	4	0	34375979_EFO_0000096_GCST002643_EFO_0000096
8	rare	0.2747252747252747	6	963.9285714285714	3.571428571428572	0.3486546913398823	0.5102040816326531	0.0019568698969618	1.8131868131868127		14	5	0	34375979_EFO_0000198_GCST009516_EFO_0000198
9	common	0.0	5	152.4	0.0	0.3237960053903373	0.0	-9.891641042127157e-05	2.0		14	5	0	34375979_EFO_0000198_GCST009516_EFO_0000198
10	overlap	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0		14	5	0	34375979_EFO_0000198_GCST009516_EFO_0000198
11	rare_common	0.1461988304093567	11	750.3684210526316	2.631578947368421	0.3442678644076096	0.3759398496240601	0.0016595798844775	2.0292397660818717		14	5	0	34375979_EFO_0000198_GCST009516_EFO_0000198
12	rare	0.0079051383399209	21	385.9130434782609	0.1739130434782608	0.2781823642474579	0.0	-0.0007022490807389	2.41897233201581		23	4	0	34375979_EFO_0000217_GCST002638_EFO_0000217
13	common	0.0	4	669.75	0.0	0.3557823548376133	0.0	-0.0003478517395758	2.0		23	4	0	34375979_EFO_0000217_GCST002638_EFO_0000217
14	overlap	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0		23	4	0	34375979_EFO_0000217_GCST002638_EFO_0000217
15	rare_common	0.0113960113960113	24	427.962962962963	0.2962962962962963	0.2937023623654891	0.0864197530864197	-0.0008086961767519	2.3703703703703702	-0.3333333333333333	23	4	0	34375979_EFO_0000217_GCST002638_EFO_0000217
16	rare	0.0175438596491228	16	282.0	0.3157894736842105	0.3239499432189702	0.0	0.0004246545978872	2.3157894736842106		19	9	0	34375979_EFO_0000266_GCST90276156_EFO_0000266
17	common	0.0555555555555555	7	688.2222222222222	0.4444444444444444	0.2083676477201849	0.0	-0.0001583143303705	2.138888888888889		19	9	0	34375979_EFO_0000266_GCST90276156_EFO_0000266
18	overlap	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0		19	9	0	34375979_EFO_0000266_GCST90276156_EFO_0000266
19	rare_common	0.037037037037037	15	412.57142857142856	1.0	0.2897033371452561	0.0595238095238095	0.0009257759991182	2.248677248677249	-0.2923076923076923	19	9	0	34375979_EFO_0000266_GCST90276156_EFO_0000266
20	rare	0.0	9	301.8888888888889	0.0	0.2527957616708159	0.0	-0.0003527875477378	2.1944444444444446		9	3	0	34375979_EFO_0000274_GCST90013680_EFO_0000274
21	common	0.0	3	673.3333333333334	0.0	0.3018105275052561	0.0	-0.0002622621853292	2.0		9	3	0	34375979_EFO_0000274_GCST90013680_EFO_0000274
22	overlap	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0		9	3	0	34375979_EFO_0000274_GCST90013680_EFO_0000274
23	rare_common	0.0	12	394.75	0.0	0.2716475946840621	0.0	-0.0006152348355616	2.1515151515151514	0.0	9	3	0	34375979_EFO_0000274_GCST90013680_EFO_0000274
24	rare	0.1944444444444444	5	685.6666666666666	1.5555555555555556	0.253332302720797	0.4259259259259259	0.0014688646841976	2.0		9	86	0	34375979_EFO_0000275_GCST90204201_EFO_0000275
25	common	0.0448700410396716	18	390.7674418604651	3.813953488372093	0.2754104158500964	0.1463308313513512	0.0054217959267693	2.12311901504788		9	86	0	34375979_EFO_0000275_GCST90204201_EFO_0000275
26	overlap	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0		9	86	0	34375979_EFO_0000275_GCST90204201_EFO_0000275
27	rare_common	0.0470324748040313	20	418.7052631578948	4.421052631578948	0.273296553954738	0.1710963580623023	0.0054238652801704	2.11959686450168	0.1578839134234745	9	86	0	34375979_EFO_0000275_GCST90204201_EFO_0000275
28	rare	0.0151515151515151	11	416.0833333333333	0.1666666666666666	0.2668808000459323	0.0	-0.0002476847630848	2.333333333333333		12	4	0	34375979_EFO_0000280_GCST003738_EFO_0000280
29	common	0.0	4	349.75	0.0	0.3926348732974081	0.0	-0.0001816213943819	2.1666666666666665		12	4	0	34375979_EFO_0000280_GCST003738_EFO_0000280
30	overlap	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0		12	4	0	34375979_EFO_0000280_GCST003738_EFO_0000280
31	rare_common	0.0166666666666666	14	399.5	0.25	0.3028105352606397	0.0	-0.0002040605178967	2.308333333333333	-0.3333333333333333	12	4	0	34375979_EFO_0000280_GCST003738_EFO_0000280
32	rare	0.0303030303030303	10	450.9166666666667	0.3333333333333333	0.3432162503832869	0.0	3.691992827732318e-05	2.196969696969697		12	4	0	34375979_EFO_0000284_GCST008169_EFO_0000284
33	common	0.1666666666666666	3	269.5	0.5	0.3301204819277108	0.0	0.0017156045975684	2.1666666666666665		12	4	0	34375979_EFO_0000284_GCST008169_EFO_0000284
34	overlap	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0		12	4	0	34375979_EFO_0000284_GCST008169_EFO_0000284
35	rare_common	0.025	13	405.5625	0.375	0.3420257259782345	0.0	8.244722553037597e-05	2.2333333333333334	1.0	12	4	0	34375979_EFO_0000284_GCST008169_EFO_0000284
36	rare	0.2	3	927.4	0.8	0.3278116283150023	0.0	0.0002609070501956	1.8		5	26	1	25187575_EFO_0000319_GCST90446535_EFO_0000319
37	common	0.1292307692307692	6	528.3846153846154	3.230769230769231	0.2312119276868029	0.3786324786324785	0.0043389894469286	1.9784615384615385		5	26	1	25187575_EFO_0000319_GCST90446535_EFO_0000319
38	overlap	0.0	1	1299.0	0.0	0.2689789844776623	0.0	-0.0001686369762647			5	26	1	25187575_EFO_0000319_GCST90446535_EFO_0000319
39	rare_common	0.1241379310344827	6	569.2	3.6	0.2463032013741836	0.3112842712842712	0.0041173490615199	1.967816091954023	-0.016685945633314013	5	26	1	25187575_EFO_0000319_GCST90446535_EFO_0000319
40	rare	0.0277777777777777	8	234.0	0.2222222222222222	0.3330219206450956	0.0	0.0006764964283662	2.305555555555556		9	8	0	26736064_EFO_0000341_GCST90399695_EFO_0000341
41	common	0.1428571428571428	4	421.75	1.0	0.2882574071717946	0.0	0.0019339789853571	1.9285714285714288		9	8	0	26736064_EFO_0000341_GCST90399695_EFO_0000341
42	overlap	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0		9	8	0	26736064_EFO_0000341_GCST90399695_EFO_0000341
43	rare_common	0.0735294117647058	8	322.3529411764706	1.1764705882352942	0.3131265813236285	0.088235294117647	0.0029404295492807	2.198529411764706	-0.098901098901099	9	8	0	26736064_EFO_0000341_GCST90399695_EFO_0000341
44	rare	0.0952380952380952	5	248.7142857142857	0.5714285714285714	0.4785837674827096	0.0	0.0020720188113458	2.2857142857142856		7	63	1	36038634_EFO_0000384_GCST004132_EFO_0000384
45	common	0.0619559651817716	15	449.1428571428572	3.8412698412698414	0.2869760712937992	0.2351250938085672	0.0048976488989994	2.066564260112647		7	63	1	36038634_EFO_0000384_GCST004132_EFO_0000384
46	overlap	0.0	1	418.0	0.0	0.1900909894094294	0.0	-5.4258812625021664e-05			7	63	1	36038634_EFO_0000384_GCST004132_EFO_0000384
47	rare_common	0.056692242114237	16	429.2608695652174	3.855072463768116	0.2989665694415772	0.2107898786725008	0.0051560358593781	2.109548167092924	-0.007399146036470131	7	63	1	36038634_EFO_0000384_GCST004132_EFO_0000384
48	rare	0.022198731501057	26	471.5681818181818	0.9545454545454546	0.279872201466381	0.1212121212121212	-0.0006708063928736	2.2536997885835097		44	3	0	34375979_EFO_0000400_GCST90043627_EFO_0000400
49	common	0.0	3	277.0	0.0	0.1878818860520817	0.0	-0.0001078743757851	2.6666666666666665		44	3	0	34375979_EFO_0000400_GCST90043627_EFO_0000400
50	overlap	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0		44	3	0	34375979_EFO_0000400_GCST90043627_EFO_0000400
51	rare_common	0.0249768732654949	26	459.1489361702128	1.148936170212766	0.2756908234930038	0.126950354609929	-0.0002995786342678	2.260869565217391	-0.125	44	3	0	34375979_EFO_0000400_GCST90043627_EFO_0000400
52	rare	0.0	6	369.1666666666667	0.0	0.2579776714810149	0.0	-0.0002875868555443	2.066666666666667		6	3	0	34375979_EFO_0000403_GCST002636_EFO_0000403
53	common	0.3333333333333333	2	645.6666666666666	0.6666666666666666	0.274775944458591	0.0	0.0007813008293648	1.6666666666666667		6	3	0	34375979_EFO_0000403_GCST002636_EFO_0000403
54	overlap	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0		6	3	0	34375979_EFO_0000403_GCST002636_EFO_0000403
55	rare_common	0.0555555555555555	7	461.3333333333333	0.4444444444444444	0.2621772397254089	0.0	0.0004246957146244	2.0	-0.3333333333333333	6	3	0	34375979_EFO_0000403_GCST002636_EFO_0000403
56	rare	0.0588235294117647	10	552.7777777777778	1.0	0.3588010221413342	0.1296296296296296	0.0005182172012657	2.176470588235294		18	5	1	34375979_EFO_0000407_GCST011210_EFO_0000407
57	common	0.1	4	379.4	0.4	0.3233183244131366	0.0	0.0008082670964376	2.2		18	5	1	34375979_EFO_0000407_GCST011210_EFO_0000407
58	overlap	0.0	1	723.0	0.0	0.2343574594928027	0.0	-9.385328428881497e-05			18	5	1	34375979_EFO_0000407_GCST011210_EFO_0000407
59	rare_common	0.0562770562770562	12	505.6363636363636	1.181818181818182	0.3515107091149311	0.15	0.0008946995821839	2.207792207792208	-0.07963089542036923	18	5	1	34375979_EFO_0000407_GCST011210_EFO_0000407
60	rare	0.0095238095238095	14	323.4	0.1333333333333333	0.253925681167029	0.0	-0.0002175044346356	2.3523809523809525		15	5	0	34375979_EFO_0000464_GCST90027902_EFO_0000464
61	common	0.0	5	262.6	0.0	0.2225453093894345	0.0	-0.0001704547740054	2.0		15	5	0	34375979_EFO_0000464_GCST90027902_EFO_0000464
62	overlap	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0		15	5	0	34375979_EFO_0000464_GCST90027902_EFO_0000464
63	rare_common	0.0105263157894736	18	308.2	0.2	0.2490979316627836	0.0	-0.0001512710952298	2.3263157894736843	-0.3333333333333333	15	5	0	34375979_EFO_0000464_GCST90027902_EFO_0000464
64	rare	0.0366666666666666	17	545.4	0.88	0.2878520704492302	0.14	-0.0001565880455123	2.28		25	5	0	34375979_EFO_0000474_GCST012370_EFO_0000474
65	common	0.1	4	581.4	0.4	0.2539795321717473	0.0	0.0003107868735694	2.0		25	5	0	34375979_EFO_0000474_GCST012370_EFO_0000474
66	overlap	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0		25	5	0	34375979_EFO_0000474_GCST012370_EFO_0000474
67	rare_common	0.0505747126436781	15	551.4	1.4666666666666666	0.283433913282602	0.1955555555555555	0.0005138688780888	2.2436781609195404	-0.1458333333333334	25	5	0	34375979_EFO_0000474_GCST012370_EFO_0000474
68	rare	0.021505376344086	23	266.83870967741933	0.6451612903225806	0.2523862680337471	0.1290322580645161	0.0013455446330263	2.3440860215053765		31	78	2	34375979_EFO_0000537_GCST90446531_EFO_0000537
69	common	0.0409590409590409	20	450.21794871794873	3.1538461538461537	0.2759669015051731	0.1864422614422614	0.0024582173211831	2.1595071595071595		31	78	2	34375979_EFO_0000537_GCST90446531_EFO_0000537
70	overlap	1.0	1	202.0	1.0	0.1549580062873143	0.0	0.0048983132255398	1.0		31	78	2	34375979_EFO_0000537_GCST90446531_EFO_0000537
71	rare_common	0.0343854699347557	26	401.7289719626168	3.644859813084112	0.2735452163894658	0.1525671384384963	0.003513135460838	2.2116028919061894	-0.03768514094601037	31	78	2	34375979_EFO_0000537_GCST90446531_EFO_0000537
72	rare	0.0	7	471.4285714285714	0.0	0.2447720779614244	0.0	-0.0004285193384424	2.4761904761904763		7	8	0	34375979_EFO_0000538_GCST011205_EFO_0000538
73	common	0.0357142857142857	7	727.25	0.25	0.3421047302562079	0.0	-0.0004117191496229	2.0357142857142856		7	8	0	34375979_EFO_0000538_GCST011205_EFO_0000538
74	overlap	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0		7	8	0	34375979_EFO_0000538_GCST011205_EFO_0000538
75	rare_common	0.0380952380952381	11	607.8666666666667	0.5333333333333333	0.2978626155767609	0.0	-0.0003064820942952	2.219047619047619	-0.6	7	8	0	34375979_EFO_0000538_GCST011205_EFO_0000538
76	rare	0.0170454545454545	26	315.3030303030303	0.5454545454545454	0.2726820687719646	0.1616161616161616	0.0003798948788955	2.414772727272727		33	4	0	34375979_EFO_0000555_GCST006304_EFO_0000555
77	common	0.0	4	185.75	0.0	0.3070507402984455	0.0	-9.644975326535008e-05	2.1666666666666665		33	4	0	34375979_EFO_0000555_GCST006304_EFO_0000555
78	overlap	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0		33	4	0	34375979_EFO_0000555_GCST006304_EFO_0000555
79	rare_common	0.0135135135135135	30	301.2972972972973	0.4864864864864865	0.2767735772870218	0.1441441441441441	0.0001678861557962	2.415915915915916		33	4	0	34375979_EFO_0000555_GCST006304_EFO_0000555
80	rare	0.1380952380952381	10	745.8095238095239	2.761904761904762	0.3289298646040045	0.3587301587301587	0.0016737256684272	1.9619047619047616		21	10	1	34375979_EFO_0000571_GCST012201_EFO_0000571
81	common	0.1111111111111111	6	711.5	1.0	0.2517567237517403	0.3	0.0004824089714741	2.088888888888889		21	10	1	34375979_EFO_0000571_GCST012201_EFO_0000571
82	overlap	0.0	1	497.0	0.0	0.4064456294922328	0.0	-6.451412747131927e-05			21	10	1	34375979_EFO_0000571_GCST012201_EFO_0000571
