EFO	Common Study	Rare Study	log2COLOC	N_C	N_R	binary	g_C	g_R	J_RC	jaccard_zero	density_C	density_R	assortativity_RC	Mean_LOEUF	DiffRC_LOEUF	Mean_GeneSize	DiffRC_GeneSize	Mean_GO	DiffRC_GO	Mean_mRNA	DiffRC_mRNA	Mean_nTissues	DiffRC_nTissues
EFO_0001645	GCST010866	19847924	0.1149385818621201	649058.0	4764.0	1	99	6	0.0	1	0.0455576169861884	0.0	0.0055211412584428	3.571876	-0.9703219970259956	111587.0	-1.3895473611447886	19.77142857142857	-0.2222222222222222	13.801415566084652	-0.4152523254671498	52.97142857142857	-0.0094786729857819
EFO_0001645	GCST011488	19847924	-0.1147470536499246	66643.0	4764.0	1	5	6	0.0	1	0.3	0.0	0.0004458606027466	2.3623072727272727	-0.9584823769239024	75381.09090909091	-1.4781758615035747	17.363636363636363	-0.1714285714285714	7.956012124579124	0.3600689372899808	52.72727272727273	-0.0094786729857819
EFO_0001645	GCST90132305	19847924	0.2572354971654881	1077578.0	4764.0	1	35	6	0.0	1	0.0084033613445378	0.0	-0.0005122179576415	2.44137512195122	-0.6894027200729566	156237.0	-1.579341664567648	15.146341463414634	0.064516129032258	8.089872922312555	0.1569136458997074	52.073170731707314	0.0095693779904306
EFO_0001645	GCST90446534	19847924	-0.107372049816847	459138.0	4764.0	1	33	6	0.0	1	0.106060606060606	0.0	0.0045347920224196	3.2893892307692307	-0.9584823769239024	92777.0	-1.3353796203993018	21.07692307692308	-0.3157894736842105	9.984043483048437	-0.0911968992877245	51.23076923076923	0.0289855072463768
EFO_0001645	GCST90449059	19847924	0.020130186305705	640258.0	4764.0	1	32	6	0.0	1	0.1108870967741935	0.0	0.0041367669558997	3.0477205263157896	-0.8969411885777504	85553.13157894737	-1.2896387044063828	22.31578947368421	-0.379746835443038	13.666197266081872	-0.4432030513228654	52.5	0.0
EFO_0000384	GCST004132	20549515	1.680590370142003	40266.0	4686.0	1	63	9	0.0140845070422535	0	0.0619559651817716	0.0833333333333333	0.0059795183484492	2.58214375	-0.5114175272601397	75644.875	-0.6869716290243477	15.875	-0.064516129032258	6.960586525462963	-0.9378246056604138	48.25	-1.1176470588235294
EFO_0000384	GCST90020071	20549515	0.3438665982739377	1219.0	4686.0	1	8	9	0.0	1	0.0	0.0833333333333333	0.0021455147820883	2.4508823529411763	-0.7116077937901348	148665.4705882353	-1.4920669629362848	18.058823529411764	-0.3561643835616438	6.435877850326797	-1.179603225435146	25.11764705882353	-0.8349514563106796
EFO_0000384	GCST90301327	20549515	1.372691208569249	58538.0	4686.0	1	10	9	0.0555555555555555	0	0.1111111111111111	0.0833333333333333	0.003317724914106	2.6816	-0.7728249909632251	55846.89473684211	-0.5647931090879355	19.473684210526315	-0.4415584415584415	5.896651716374269	-1.046844632757755	35.526315789473685	-1.1304347826086956
EFO_0000384	GCST90319897	20549515	1.5086628267119908	79121.0	4686.0	1	10	9	0.0555555555555555	0	0.1111111111111111	0.0833333333333333	0.0031376149650428	2.286994736842105	-0.568661170962266	52600.57894736842	-0.4795841755703147	20.789473684210527	-0.5365853658536586	6.412831191520466	-1.1218814427589143	35.0	-1.1176470588235294
EFO_0000384	GCST90446792	20549515	1.7888057048982338	367592.0	4686.0	1	98	9	0.0094339622641509	0	0.0540711129812749	0.0833333333333333	0.0098589957694507	2.6274495327102803	-0.5114175272601397	92455.71028037384	-0.845426835953775	15.0	0.0	7.927785079958462	-1.0179605573207893	49.80373831775701	-1.1176470588235294
