Trait1	Trait2	TestControl	NetColoc	Parameter Tested	Bin Size	T	T*	Observed Size	Expected Size	log2COLOC Score	COLOC P	LenientOrStrict	SNP-to-Gene
EFO_0000731_GCST90018934	EFO_0000731_GCST90018934	Test	Quantitative(Q)	bin	5	1	3	349	212.767	0.7139526291494593	9.673e-26	Lenient	S2G
EFO_0000731_GCST90018934	EFO_0000731_GCST90018934	Test	Quantitative(Q)	bin	10	1	3	345	228.543	0.5941307303036728	3.274e-17	Lenient	S2G
EFO_0000731_GCST90018934	EFO_0000731_GCST90018934	Test	Quantitative(Q)	bin	20	1	3	391	229.618	0.7679328666825296	9.572000000000003e-34	Lenient	S2G
EFO_0000731_GCST90018934	EFO_0000731_GCST90018934	Test	Quantitative(Q)	bin	40	1	3	389	227.525	0.7737450806937886	3.514e-33	Lenient	S2G
EFO_0000731_GCST90018934	EFO_0000731_GCST90018934	Test	Quantitative(Q)	bin	80	1	3	389	216.214	0.8473102136530108	3.6120000000000006e-41	Lenient	S2G
EFO_0000731_GCST90018934	EFO_0000731_GCST90018934	Test	Quantitative(Q)	bin	160	1	3	394	219.038	0.8470144509245103	1.536e-42	Lenient	S2G
EFO_0000731_GCST90018934	EFO_0000731_GCST90018934	Test	Quantitative(Q)	th	10	1	1	701	466.706	0.5869004294416564	1.1010000000000002e-36	Lenient	S2G
EFO_0000731_GCST90018934	EFO_0000731_GCST90018934	Test	Quantitative(Q)	th	10	1	1.5	649	432.713	0.5848080139152685	5.179000000000002e-35	Lenient	S2G
EFO_0000731_GCST90018934	EFO_0000731_GCST90018934	Test	Quantitative(Q)	th	10	1.5	1.5	286	178.901	0.6768536953823803	2.522e-19	Lenient	S2G
EFO_0000731_GCST90018934	EFO_0000731_GCST90018934	Test	Quantitative(Q)	th	10	1	2	555	367.077	0.5964050493583346	4.735e-30	Lenient	S2G
EFO_0000731_GCST90018934	EFO_0000731_GCST90018934	Test	Quantitative(Q)	th	10	1.5	2	286	178.111	0.6832385280633408	3.136e-18	Lenient	S2G
EFO_0000731_GCST90018934	EFO_0000731_GCST90018934	Test	Quantitative(Q)	th	10	2	2	113	58.12	0.9592161645570711	1.023e-13	Lenient	S2G
EFO_0000731_GCST90018934	EFO_0000731_GCST90018934	Test	Quantitative(Q)	th	10	1	2.5	473	299.198	0.6607396520547811	1.6030000000000003e-28	Lenient	S2G
EFO_0000731_GCST90018934	EFO_0000731_GCST90018934	Test	Quantitative(Q)	th	10	1.5	2.5	280	176.834	0.6630311377605138	7.222e-19	Lenient	S2G
EFO_0000731_GCST90018934	EFO_0000731_GCST90018934	Test	Quantitative(Q)	th	10	2	2.5	113	57.69	0.9699296041288591	1.866e-14	Lenient	S2G
EFO_0000731_GCST90018934	EFO_0000731_GCST90018934	Test	Quantitative(Q)	th	10	2.5	2.5	33	17.613	0.9058253619514244	0.000182	Lenient	S2G
EFO_0000731_GCST90018934	EFO_0000731_GCST90018934	Test	Quantitative(Q)	th	10	1	3	374	237.601	0.6544973620381856	5.69e-24	Lenient	S2G
EFO_0000731_GCST90018934	EFO_0000731_GCST90018934	Test	Quantitative(Q)	th	10	1.5	3	258	162.049	0.6709409477974183	4.242e-17	Lenient	S2G
EFO_0000731_GCST90018934	EFO_0000731_GCST90018934	Test	Quantitative(Q)	th	10	2	3	113	58.385	0.9526531012522171	6.732e-14	Lenient	S2G
EFO_0000731_GCST90018934	EFO_0000731_GCST90018934	Test	Quantitative(Q)	th	10	2.5	3	33	17.427	0.9211417887788076	7.099e-05	Lenient	S2G
EFO_0000731_GCST90018934	EFO_0000731_GCST90018934	Test	Quantitative(Q)	th	10	3	3	6	3.819	0.651767580760729	0.2522	Lenient	S2G
EFO_0000731_GCST90018934	EFO_0000731_GCST90018934	Test	Quantitative(Q)	th	10	1	3.5	305	185.855	0.7146317415720459	9.368999999999999e-22	Lenient	S2G
EFO_0000731_GCST90018934	EFO_0000731_GCST90018934	Test	Quantitative(Q)	th	10	1.5	3.5	233	141.258	0.7219973795039509	4.032e-17	Lenient	S2G
EFO_0000731_GCST90018934	EFO_0000731_GCST90018934	Test	Quantitative(Q)	th	10	2	3.5	113	57.577	0.9727582470508663	1.722e-13	Lenient	S2G
EFO_0000731_GCST90018934	EFO_0000731_GCST90018934	Test	Quantitative(Q)	th	10	2.5	3.5	33	17.519	0.9135455974894968	0.0001956	Lenient	S2G
EFO_0000731_GCST90018934	EFO_0000731_GCST90018934	Test	Quantitative(Q)	th	10	3	3.5	6	4.083	0.5553329331580922	0.3405	Lenient	S2G
EFO_0000731_GCST90018934	EFO_0000731_GCST90018934	Test	Quantitative(Q)	th	10	3.5	3.5	1	0.693	0.5290727425248734	0.7114	Lenient	S2G
EFO_0000731_GCST90018934	EFO_0000731_GCST90018934	Test	Quantitative(Q)	th	10	1	4	237	144.504	0.7137776307554167	1.944e-17	Lenient	S2G
EFO_0000731_GCST90018934	EFO_0000731_GCST90018934	Test	Quantitative(Q)	th	10	1.5	4	199	119.845	0.7315987105651693	4.106e-15	Lenient	S2G
EFO_0000731_GCST90018934	EFO_0000731_GCST90018934	Test	Quantitative(Q)	th	10	2	4	113	58.443	0.9512206309669071	7.643e-15	Lenient	S2G
EFO_0000731_GCST90018934	EFO_0000731_GCST90018934	Test	Quantitative(Q)	th	10	2.5	4	33	17.498	0.9152759912691312	0.0001163	Lenient	S2G
EFO_0000731_GCST90018934	EFO_0000731_GCST90018934	Test	Quantitative(Q)	th	10	3	4	6	4.035	0.5723938272181004	0.315	Lenient	S2G
EFO_0000731_GCST90018934	EFO_0000731_GCST90018934	Test	Quantitative(Q)	th	10	3.5	4	1	0.736	0.4422223286050742	0.7587	Lenient	S2G
EFO_0000731_GCST90018934	EFO_0000731_GCST90018934	Test	Quantitative(Q)	th	10	4	4	0	0.137	-inf	0.7105	Lenient	S2G
EFO_0007117_GCST90092502	EFO_0007117_GCST90092502	Test	Quantitative(Q)	bin	5	1	3	305	240.053	0.3454562768599039	2.731e-06	Lenient	S2G
EFO_0007117_GCST90092502	EFO_0007117_GCST90092502	Test	Quantitative(Q)	bin	10	1	3	269	232.209	0.2121822832496445	0.007961	Lenient	S2G
EFO_0007117_GCST90092502	EFO_0007117_GCST90092502	Test	Quantitative(Q)	bin	20	1	3	262	220.242	0.25047719565876453	0.00209	Lenient	S2G
EFO_0007117_GCST90092502	EFO_0007117_GCST90092502	Test	Quantitative(Q)	bin	40	1	3	255	224.151	0.18602631141704548	0.02251	Lenient	S2G
EFO_0007117_GCST90092502	EFO_0007117_GCST90092502	Test	Quantitative(Q)	bin	80	1	3	228	205.362	0.15086457303276915	0.08965	Lenient	S2G
EFO_0007117_GCST90092502	EFO_0007117_GCST90092502	Test	Quantitative(Q)	bin	160	1	3	226	199.027	0.1833586126061186	0.03776	Lenient	S2G
EFO_0007117_GCST90092502	EFO_0007117_GCST90092502	Test	Quantitative(Q)	th	10	1	1	466	413.241	0.1733465555598113	0.002715	Lenient	S2G
EFO_0007117_GCST90092502	EFO_0007117_GCST90092502	Test	Quantitative(Q)	th	10	1	1.5	435	385.685	0.17359236297090572	0.003997	Lenient	S2G
EFO_0007117_GCST90092502	EFO_0007117_GCST90092502	Test	Quantitative(Q)	th	10	1.5	1.5	181	167.518	0.11167357418276902	0.2723	Lenient	S2G
EFO_0007117_GCST90092502	EFO_0007117_GCST90092502	Test	Quantitative(Q)	th	10	1	2	374	336.014	0.15451692606781053	0.01583	Lenient	S2G
EFO_0007117_GCST90092502	EFO_0007117_GCST90092502	Test	Quantitative(Q)	th	10	1.5	2	181	167.931	0.10812112148238479	0.2487	Lenient	S2G
EFO_0007117_GCST90092502	EFO_0007117_GCST90092502	Test	Quantitative(Q)	th	10	2	2	68	65.075	0.0634313397335896	0.7119	Lenient	S2G
EFO_0007117_GCST90092502	EFO_0007117_GCST90092502	Test	Quantitative(Q)	th	10	1	2.5	313	280.596	0.1576682142061245	0.02721	Lenient	S2G
EFO_0007117_GCST90092502	EFO_0007117_GCST90092502	Test	Quantitative(Q)	th	10	1.5	2.5	180	166.575	0.11182501294890031	0.2412	Lenient	S2G
EFO_0007117_GCST90092502	EFO_0007117_GCST90092502	Test	Quantitative(Q)	th	10	2	2.5	68	64.633	0.07326378917888922	0.6597	Lenient	S2G
EFO_0007117_GCST90092502	EFO_0007117_GCST90092502	Test	Quantitative(Q)	th	10	2.5	2.5	29	23.722	0.2898272517203381	0.2549	Lenient	S2G
EFO_0007117_GCST90092502	EFO_0007117_GCST90092502	Test	Quantitative(Q)	th	10	1	3	273	231.696	0.2366678134161808	0.002133	Lenient	S2G
EFO_0007117_GCST90092502	EFO_0007117_GCST90092502	Test	Quantitative(Q)	th	10	1.5	3	173	154.461	0.1635294211511924	0.1135	Lenient	S2G
EFO_0007117_GCST90092502	EFO_0007117_GCST90092502	Test	Quantitative(Q)	th	10	2	3	68	64.807	0.06938509498360025	0.6706	Lenient	S2G
EFO_0007117_GCST90092502	EFO_0007117_GCST90092502	Test	Quantitative(Q)	th	10	2.5	3	29	23.758	0.28763950818939166	0.2661	Lenient	S2G
EFO_0007117_GCST90092502	EFO_0007117_GCST90092502	Test	Quantitative(Q)	th	10	3	3	9	7.541	0.25516915177066524	0.5786	Lenient	S2G
EFO_0007117_GCST90092502	EFO_0007117_GCST90092502	Test	Quantitative(Q)	th	10	1	3.5	227	189.798	0.25822750750323814	0.003428	Lenient	S2G
EFO_0007117_GCST90092502	EFO_0007117_GCST90092502	Test	Quantitative(Q)	th	10	1.5	3.5	154	139.413	0.14356525484247404	0.1725	Lenient	S2G
EFO_0007117_GCST90092502	EFO_0007117_GCST90092502	Test	Quantitative(Q)	th	10	2	3.5	68	64.992	0.06527260161627349	0.7029	Lenient	S2G
EFO_0007117_GCST90092502	EFO_0007117_GCST90092502	Test	Quantitative(Q)	th	10	2.5	3.5	29	23.556	0.29995832160233177	0.2132	Lenient	S2G
EFO_0007117_GCST90092502	EFO_0007117_GCST90092502	Test	Quantitative(Q)	th	10	3	3.5	9	7.626	0.23899847037828434	0.6134	Lenient	S2G
EFO_0007117_GCST90092502	EFO_0007117_GCST90092502	Test	Quantitative(Q)	th	10	3.5	3.5	3	2.761	0.11977161279517387	0.8789	Lenient	S2G
EFO_0007117_GCST90092502	EFO_0007117_GCST90092502	Test	Quantitative(Q)	th	10	1	4	182	156.107	0.2214032197137806	0.02285	Lenient	S2G
EFO_0007117_GCST90092502	EFO_0007117_GCST90092502	Test	Quantitative(Q)	th	10	1.5	4	133	122.353	0.12037677011985637	0.296	Lenient	S2G
EFO_0007117_GCST90092502	EFO_0007117_GCST90092502	Test	Quantitative(Q)	th	10	2	4	68	64.519	0.07581066847421383	0.652	Lenient	S2G
EFO_0007117_GCST90092502	EFO_0007117_GCST90092502	Test	Quantitative(Q)	th	10	2.5	4	29	23.628	0.29555538316694924	0.2592	Lenient	S2G
EFO_0007117_GCST90092502	EFO_0007117_GCST90092502	Test	Quantitative(Q)	th	10	3	4	9	7.64	0.23635236318128847	0.6058	Lenient	S2G
EFO_0007117_GCST90092502	EFO_0007117_GCST90092502	Test	Quantitative(Q)	th	10	3.5	4	3	2.804	0.09747615137262	0.9052	Lenient	S2G
EFO_0007117_GCST90092502	EFO_0007117_GCST90092502	Test	Quantitative(Q)	th	10	4	4	2	1.039	0.9448043457578753	0.3325	Lenient	S2G
EFO_0009863_GCST007710	EFO_0009863_GCST007710	Test	Quantitative(Q)	bin	5	1	3	451	218.295	1.0468483473929755	5.335999999999999e-69	Lenient	S2G
EFO_0009863_GCST007710	EFO_0009863_GCST007710	Test	Quantitative(Q)	bin	10	1	3	467	226.319	1.045064842682638	2.266e-71	Lenient	S2G
EFO_0009863_GCST007710	EFO_0009863_GCST007710	Test	Quantitative(Q)	bin	20	1	3	397	208.517	0.9289739986820063	2.5329999999999997e-47	Lenient	S2G
EFO_0009863_GCST007710	EFO_0009863_GCST007710	Test	Quantitative(Q)	bin	40	1	3	270	173.516	0.6378907066837041	6.879e-16	Lenient	S2G
EFO_0009863_GCST007710	EFO_0009863_GCST007710	Test	Quantitative(Q)	bin	80	1	3	204	155.094	0.3954262771553296	2.034e-05	Lenient	S2G
