"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"KEGG","Maturity onset diabetes of the young","KEGG:04950","1.6488542915462953e-33","32.78281772105248","26","386","26","8484","6928,6927,6514,5313,5080,5078,50674,4825,4821,4760,389692,3651,3630,3375,3280,3175,3174,3172,3171,3170,3110,3087,2645,2494,222546,168620"
"KEGG","AMPK signaling pathway","KEGG:04152","3.4728007227230025e-29","28.459320136788516","120","386","46","8484","9370,92579,90993,8789,8660,84699,79602,6720,6517,57818,5571,5565,5564,5563,5468,53632,5214,5213,5211,5210,5208,5207,5106,5105,3991,3952,3667,3643,3630,32,3172,3156,31,2998,2997,2538,2309,2308,2203,208,200186,1375,1374,126129,1149,10891"
"KEGG","Glucagon signaling pathway","KEGG:04922","2.230667066364076e-28","27.651565244611152","107","386","43","8484","92579,91860,90993,8789,84699,816,6514,5837,5836,5834,57818,5571,5565,5564,5563,5465,53632,5261,5260,5223,5214,5213,5211,5207,5106,5105,3948,32,31,2998,2997,2645,2641,2538,2308,2203,208,200186,163688,1375,1374,126129,10891"
"KEGG","Starch and sucrose metabolism","KEGG:00500","1.1338185785857353e-27","26.945456431000753","36","386","27","8484","93432,92579,8972,80201,7360,6476,5837,5836,5834,57818,55276,3101,3099,3098,2998,2997,283209,2821,280,279,277,276,2645,2595,2548,2538,11181"
"KEGG","Insulin signaling pathway","KEGG:04910","1.5053325873341543e-25","24.82236753669043","137","386","45","8484","92579,91860,90673,89801,8789,8660,80201,79660,6720,6517,5837,5836,5834,57818,572,5571,5565,5564,5563,5509,5507,53632,5313,5261,5260,5106,5105,3991,3667,3643,3630,32,3101,31,3099,3098,2998,2997,2645,2538,2308,2203,208,163688,10891"
"KEGG","Insulin resistance","KEGG:04931","7.50777772032453e-24","23.124488593837786","108","386","39","8484","92579,90993,90673,8660,84699,79660,6720,6517,6514,5837,5836,5834,57818,5581,5571,5565,5564,5563,5509,5507,5465,53632,51085,5106,5105,3667,3643,3630,32,2998,2997,2538,2308,208,200186,1375,1374,133522,10891"
"KEGG","Galactose metabolism","KEGG:00052","2.9620162766898743e-21","20.5284125592999","32","386","22","8484","93432,92579,8972,80201,7360,6476,57818,57016,55276,5214,5213,5211,3938,3906,3101,3099,3098,2645,2595,2548,2538,130589"
"KEGG","Metabolic pathways","KEGG:01100","8.140057892539624e-21","20.089372506373564","1537","386","149","8484","9365,93432,92579,9104,8972,8789,8706,8564,8529,84720,83440,83401,80339,80201,79799,79369,763,7498,7366,7365,7364,7363,7360,7299,7173,7166,6999,6898,6718,6489,6476,63826,58510,5837,5836,5834,57818,574537,57016,55276,54659,54600,54578,54576,54490,54363,5408,5407,5406,5313,5232,5230,5223,5214,5213,5211,5210,5208,5207,51301,51179,5106,5105,50940,5091,5053,5009,4882,4351,4051,3990,3948,3938,3906,387712,3795,3242,32,3156,3101,31,3099,3098,3081,3034,3033,2998,2997,2941,2939,2938,29071,2875,283209,2821,2806,2805,280,28,279,277,276,27115,270,2678,2645,26330,26007,26,2595,2572,2548,2538,2329,2328,230,229,2203,2180,2132,2027,189,1807,162466,162417,1610,1608,1607,1581,1576,1559,1558,1557,1555,1551,139189,137362,132789,130589,127550,116255,113675,113612,11181,111,10993,10825,10690,10007"
"KEGG","Glycolysis / Gluconeogenesis","KEGG:00010","2.2640334576441287e-20","19.64511715947897","67","386","29","8484","92579,8789,83440,80201,57818,55276,5313,5232,5230,5223,5214,5213,5211,5106,5105,3948,387712,3101,3099,3098,2821,2645,26330,2538,230,229,2203,2027,130589"
"KEGG","Carbon metabolism","KEGG:01200","8.408156714451692e-16","15.075299202357153","115","386","32","8484","9104,8789,83440,80201,54363,5313,5232,5230,5223,5214,5213,5211,51179,5091,387712,3101,3099,3098,2875,2821,2806,2805,2645,26007,230,229,2203,2027,189,137362,113675,10993"
"KEGG","Adipocytokine signaling pathway","KEGG:04920","3.4340279705769747e-15","14.46419617177913","70","386","25","8484","9370,92579,8660,79602,6517,6256,57818,5571,5565,5564,5563,5465,53632,5106,5105,3952,3667,32,2538,2180,208,1375,1374,126129,10891"
"KEGG","Fructose and mannose metabolism","KEGG:00051","1.3046575473858224e-14","13.88450346901382","34","386","18","8484","8789,80201,57016,5214,5213,5211,5210,5208,5207,4351,3795,3101,3099,3098,26007,230,229,2203"
"KEGG","Type II diabetes mellitus","KEGG:04930","3.791499868381651e-14","13.421188954753543","46","386","20","8484","9370,8660,80201,776,773,6833,6517,6514,5581,5313,389692,3767,3667,3651,3643,3630,3101,3099,3098,2645"
"KEGG","Carbohydrate digestion and absorption","KEGG:04973","9.282730477323865e-13","12.03232425903826","47","386","19","8484","93432,92579,8972,80201,776,6523,6514,6476,57818,3938,3101,3099,3098,280,279,277,276,2538,208"
"KEGG","Bile secretion","KEGG:04976","1.4729753787052081e-12","11.831804512479726","89","386","25","8484","9971,8647,8431,79799,7366,7365,7364,7363,6580,6579,6555,6554,6523,6256,574537,54659,54600,54578,54576,54490,3156,1581,1576,111,10599"
"KEGG","Drug metabolism - cytochrome P450","KEGG:00982","1.77273051880317e-12","11.751357278551238","68","386","22","8484","79799,7366,7365,7364,7363,574537,54659,54600,54578,54576,54490,2941,2939,2938,2329,2328,1576,1565,1559,1558,1557,1555"
