	Overlap	RareOnly	CommonOnly	TraitR	TraitC	EFO	Rare_Zr	Rare_Zc	Rare_Zrc	Common_Zr	Common_Zc	Common_Zrc	trait_pair	overlap+rare	Total	overlap+RareZ	overlap+RareCommonZ	R_frac	C_frac
217	0	3	511	34375979_EFO_0004698	GCST90131901_EFO_0004698	EFO_0004698	3	1	1	104	511	119	34375979_EFO_0004698_GCST90131901_EFO_0004698	3	514	1	120	0.3333333333333333	0.2328767123287671
196	1	2	396	36280733_EFO_0004340	GCST90446645_EFO_0004340	EFO_0004340	2	0	1	121	396	145	36280733_EFO_0004340_GCST90446645_EFO_0004340	3	399	2	147	0.5	0.3661616161616162
166	11	3	362	34375979_EFO_0007985	GCST90002400_EFO_0007985	EFO_0007985	3	1	1	104	362	123	34375979_EFO_0007985_GCST90002400_EFO_0007985	14	376	12	135	0.3333333333333333	0.3397790055248619
194	8	21	305	37262146_EFO_0004338	GCST90018949_EFO_0004338	EFO_0004338	21	7	7	89	305	98	37262146_EFO_0004338_GCST90018949_EFO_0004338	29	334	15	113	0.3333333333333333	0.32131147540983607
131	33	284	14	36809768_EFO_0004541	GCST90256420_EFO_0004541	EFO_0004541	284	83	94	3	14	5	36809768_EFO_0004541_GCST90256420_EFO_0004541	317	331	127	132	0.33098591549295775	0.35714285714285715
187	9	48	219	33230300_EFO_0006335	GCST90132903_EFO_0006335	EFO_0006335	48	12	14	59	219	68	33230300_EFO_0006335_GCST90132903_EFO_0006335	57	276	23	91	0.2916666666666667	0.3105022831050228
115	41	146	84	36809768_EFO_0004736	GCST90011899_EFO_0004736	EFO_0004736	146	46	53	18	84	26	36809768_EFO_0004736_GCST90011899_EFO_0004736	187	271	94	120	0.363013698630137	0.30952380952380953
170	6	11	249	34662886_EFO_0007993	GCST90002389_EFO_0007993	EFO_0007993	11	8	8	107	249	120	34662886_EFO_0007993_GCST90002389_EFO_0007993	17	266	14	134	0.7272727272727273	0.4819277108433735
127	4	2	259	34375979_EFO_0007991	GCST90002382_EFO_0007991	EFO_0007991	2	2	2	83	259	100	34375979_EFO_0007991_GCST90002382_EFO_0007991	6	265	6	106	1.0	0.3861003861003861
179	9	67	188	33230300_EFO_0005763	GCST90018970_EFO_0005763	EFO_0005763	67	18	25	56	188	65	33230300_EFO_0005763_GCST90018970_EFO_0005763	76	264	34	99	0.373134328358209	0.34574468085106386
147	6	9	229	34662886_EFO_0007990	GCST90002399_EFO_0007990	EFO_0007990	9	2	4	94	229	109	34662886_EFO_0007990_GCST90002399_EFO_0007990	15	244	10	119	0.4444444444444444	0.4759825327510917
182	8	41	127	33230300_EFO_0006336	GCST90018952_EFO_0006336	EFO_0006336	41	14	20	35	127	44	33230300_EFO_0006336_GCST90018952_EFO_0006336	49	176	28	72	0.4878048780487805	0.3464566929133858
297	0	18	155	34375979_MONDO_0001627	GCST90449022_MONDO_0001627	MONDO_0001627	18	2	2	22	155	29	34375979_MONDO_0001627_GCST90449022_MONDO_0001627	18	173	2	31	0.1111111111111111	0.1870967741935484
237	3	3	148	34662886_EFO_0009819	GCST010989_EFO_0009819	EFO_0009819	3	1	2	23	148	35	34662886_EFO_0009819_GCST010989_EFO_0009819	6	154	5	40	0.6666666666666666	0.23648648648648649
174	7	8	136	34375979_EFO_0004309	GCST004603_EFO_0004309	EFO_0004309	8	5	5	49	136	52	34375979_EFO_0004309_GCST004603_EFO_0004309	15	151	12	64	0.625	0.38235294117647056
161	0	119	6	35982160_EFO_0003756	GCST010643_EFO_0003756	EFO_0003756	119	35	39	4	6	4	35982160_EFO_0003756_GCST010643_EFO_0003756	119	125	39	43	0.3277310924369748	0.6666666666666666
185	1	3	116	34375979_EFO_0004314	GCST90270081_EFO_0004314	EFO_0004314	3	2	2	33	116	41	34375979_EFO_0004314_GCST90270081_EFO_0004314	4	120	3	44	0.6666666666666666	0.35344827586206895
128	8	91	20	36809768_EFO_0022335	GCST90269695_EFO_0022335	EFO_0022335	91	36	43	12	20	13	36809768_EFO_0022335_GCST90269695_EFO_0022335	99	119	51	64	0.4725274725274725	0.65
46	9	100	7	36809768_EFO_0022340	GCST90269685_EFO_0022340	EFO_0022340	100	29	34	3	7	5	36809768_EFO_0022340_GCST90269685_EFO_0022340	109	116	43	48	0.34	0.7142857142857143
105	8	85	19	36809768_EFO_0022239	GCST90269692_EFO_0022239	EFO_0022239	85	35	43	12	19	12	36809768_EFO_0022239_GCST90269692_EFO_0022239	93	112	51	63	0.5058823529411764	0.631578947368421
140	10	88	12	36809768_EFO_0022288	GCST90269729_EFO_0022288	EFO_0022288	88	24	28	6	12	8	36809768_EFO_0022288_GCST90269729_EFO_0022288	98	110	38	46	0.3181818181818182	0.6666666666666666
66	10	80	18	36809768_EFO_0022253	GCST90269693_EFO_0022253	EFO_0022253	80	29	36	11	18	11	36809768_EFO_0022253_GCST90269693_EFO_0022253	90	108	46	57	0.45	0.6111111111111112
213	2	29	76	34375979_EFO_0000537	GCST90446531_EFO_0000537	EFO_0000537	29	9	11	25	76	29	34375979_EFO_0000537_GCST90446531_EFO_0000537	31	107	13	42	0.3793103448275862	0.3815789473684211
236	0	11	96	34244158_MONDO_0005575	GCST90428118_MONDO_0005575	MONDO_0005575	11	4	4	20	96	26	34244158_MONDO_0005575_GCST90428118_MONDO_0005575	11	107	4	30	0.36363636363636365	0.2708333333333333
102	11	81	14	36809768_EFO_0022284	GCST90269694_EFO_0022284	EFO_0022284	81	34	42	8	14	10	36809768_EFO_0022284_GCST90269694_EFO_0022284	92	106	53	63	0.5185185185185185	0.7142857142857143
42	5	9	90	34662886_EFO_0007989	GCST004609_EFO_0007989	EFO_0007989	9	8	8	42	90	47	34662886_EFO_0007989_GCST004609_EFO_0007989	14	104	13	60	0.8888888888888888	0.5222222222222223
124	12	70	20	36809768_EFO_0021900	GCST90269658_EFO_0021900	EFO_0021900	70	28	29	10	20	11	36809768_EFO_0021900_GCST90269658_EFO_0021900	82	102	41	52	0.4142857142857143	0.55
103	14	66	18	36809768_EFO_0022189	GCST90269656_EFO_0022189	EFO_0022189	66	24	29	11	18	12	36809768_EFO_0022189_GCST90269656_EFO_0022189	80	98	43	55	0.4393939393939394	0.6666666666666666
73	15	64	18	36809768_EFO_0022157	GCST90269660_EFO_0022157	EFO_0022157	64	29	33	8	18	11	36809768_EFO_0022157_GCST90269660_EFO_0022157	79	97	48	59	0.515625	0.6111111111111112
49	3	13	80	34375979_EFO_0004570	GCST90018973_EFO_0004570	EFO_0004570	13	11	11	18	80	20	34375979_EFO_0004570_GCST90018973_EFO_0004570	16	96	14	34	0.8461538461538461	0.25
214	0	9	86	34375979_EFO_0000275	GCST90204201_EFO_0000275	EFO_0000275	9	2	3	26	86	31	34375979_EFO_0000275_GCST90204201_EFO_0000275	9	95	3	34	0.3333333333333333	0.36046511627906974
72	10	67	15	36809768_EFO_0022234	GCST90269732_EFO_0022234	EFO_0022234	67	32	34	6	15	7	36809768_EFO_0022234_GCST90269732_EFO_0022234	77	92	44	51	0.5074626865671642	0.4666666666666667
28	10	67	14	36809768_EFO_0022325	GCST90269591_EFO_0022325	EFO_0022325	67	29	34	8	14	9	36809768_EFO_0022325_GCST90269591_EFO_0022325	77	91	44	53	0.5074626865671642	0.6428571428571429
113	10	65	15	36809768_EFO_0022248	GCST90269733_EFO_0022248	EFO_0022248	65	32	35	5	15	8	36809768_EFO_0022248_GCST90269733_EFO_0022248	75	90	45	53	0.5384615384615384	0.5333333333333333
30	10	60	17	36809768_EFO_0022237	GCST90269737_EFO_0022237	EFO_0022237	60	27	33	10	17	11	36809768_EFO_0022237_GCST90269737_EFO_0022237	70	87	43	54	0.55	0.6470588235294118
200	1	11	75	34375979_EFO_0004193	GCST90328132_EFO_0004193	EFO_0004193	11	4	5	26	75	30	34375979_EFO_0004193_GCST90328132_EFO_0004193	12	87	6	36	0.45454545454545453	0.4
88	9	61	15	36809768_EFO_0022229	GCST90269651_EFO_0022229	EFO_0022229	61	34	35	11	15	11	36809768_EFO_0022229_GCST90269651_EFO_0022229	70	85	44	55	0.5737704918032787	0.7333333333333333
136	4	50	29	36809768_EFO_0008589	GCST90301957_EFO_0008589	EFO_0008589	50	21	23	14	29	16	36809768_EFO_0008589_GCST90301957_EFO_0008589	54	83	27	43	0.46	0.5517241379310345
172	2	2	78	34662886_EFO_0007992	GCST90002380_EFO_0007992	EFO_0007992	2	1	1	28	78	31	34662886_EFO_0007992_GCST90002380_EFO_0007992	4	82	3	34	0.5	0.3974358974358974
22	15	58	7	36809768_EFO_0022258	GCST90269683_EFO_0022258	EFO_0022258	58	20	25	6	7	6	36809768_EFO_0022258_GCST90269683_EFO_0022258	73	80	40	46	0.43103448275862066	0.8571428571428571
129	11	48	20	36809768_EFO_0022341	GCST90269705_EFO_0022341	EFO_0022341	48	21	25	14	20	16	36809768_EFO_0022341_GCST90269705_EFO_0022341	59	79	36	52	0.5208333333333334	0.8
106	10	52	17	36809768_EFO_0022287	GCST90269699_EFO_0022287	EFO_0022287	52	23	25	15	17	17	36809768_EFO_0022287_GCST90269699_EFO_0022287	62	79	35	52	0.4807692307692308	1.0
32	9	58	12	36809768_EFO_0022330	GCST90269735_EFO_0022330	EFO_0022330	58	28	33	7	12	7	36809768_EFO_0022330_GCST90269735_EFO_0022330	67	79	42	49	0.5689655172413793	0.5833333333333334
114	10	51	18	36809768_EFO_0022259	GCST90269703_EFO_0022259	EFO_0022259	51	19	25	12	18	13	36809768_EFO_0022259_GCST90269703_EFO_0022259	61	79	35	48	0.49019607843137253	0.7222222222222222
126	11	57	10	36809768_EFO_0022279	GCST90269734_EFO_0022279	EFO_0022279	57	28	29	8	10	9	36809768_EFO_0022279_GCST90269734_EFO_0022279	68	78	40	49	0.5087719298245614	0.9
227	0	3	75	20549515_MONDO_0005148	GCST006867_MONDO_0005148	MONDO_0005148	3	2	3	36	75	40	20549515_MONDO_0005148_GCST006867_MONDO_0005148	3	78	3	43	1.0	0.5333333333333333
54	12	53	12	36809768_EFO_0022312	GCST90269649_EFO_0022312	EFO_0022312	53	24	26	9	12	9	36809768_EFO_0022312_GCST90269649_EFO_0022312	65	77	38	47	0.49056603773584906	0.75
104	7	56	14	36809768_EFO_0022338	GCST90269700_EFO_0022338	EFO_0022338	56	20	23	11	14	12	36809768_EFO_0022338_GCST90269700_EFO_0022338	63	77	30	42	0.4107142857142857	0.8571428571428571
35	12	51	13	36809768_EFO_0022336	GCST90269745_EFO_0022336	EFO_0022336	51	27	33	6	13	7	36809768_EFO_0022336_GCST90269745_EFO_0022336	63	76	45	52	0.6470588235294118	0.5384615384615384
80	15	32	29	36809768_EFO_0010733	GCST90092939_EFO_0010733	EFO_0010733	32	19	20	15	29	15	36809768_EFO_0010733_GCST90092939_EFO_0010733	47	76	35	50	0.625	0.5172413793103449
191	1	31	43	37262146_MONDO_0004975	GCST90301303_MONDO_0004975	MONDO_0004975	31	9	12	24	43	30	37262146_MONDO_0004975_GCST90301303_MONDO_0004975	32	75	13	43	0.3870967741935484	0.6976744186046512
112	14	49	10	36809768_EFO_0022282	GCST90269739_EFO_0022282	EFO_0022282	49	26	29	6	10	7	36809768_EFO_0022282_GCST90269739_EFO_0022282	63	73	43	50	0.5918367346938775	0.7
43	12	50	11	36809768_EFO_0022251	GCST90269738_EFO_0022251	EFO_0022251	50	29	32	6	11	6	36809768_EFO_0022251_GCST90269738_EFO_0022251	62	73	44	50	0.64	0.5454545454545454
