GeneSet	Tissue	Log10PValue	Tissue.Specific.Genes	fold.change	samples	NotIdentifiedCount
34375979_EFO_0004533_GCST90025947_EFO_0004533	Adipose Tissue	0.36543628168365	1	6.5127674258109	5	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Adrenal Gland	0	0	0	3	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Appendix	0	0	0	3	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Bone Marrow	0	0	0	4	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Breast	0	0	0	4	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Cerebral Cortex	0	0	0	3	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Cervix, uterine	0.36543628168365	1	6.80880230880231	2	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Colon	0.36543628168365	1	6.67869780608634	13	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Duodenum	1.34558952717789	3	9.89203354297694	2	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Endometrium	0.36543628168365	1	8.96201329534663	5	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Esophagus	0	0	0	3	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Fallopian Tube	0	0	0	5	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Gallbladder	0	0	0	3	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Heart Muscle	0	0	0	4	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Kidney	0.452837977250614	2	6.22288163534454	9	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Liver	7.13310158942108	8	19.8778304370721	10	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Lung	0.36543628168365	1	5.76129426129426	9	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Lymph Node	0	0	0	5	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Ovary	0.36543628168365	1	8.06581196581197	3	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Pancreas	0.36543628168365	1	14.3637747336377	2	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Placenta	0	0	0	8	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Prostate	0	0	0	9	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Rectum	0.36543628168365	1	6.24140211640212	4	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Salivary Gland	0	0	0	3	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Seminal Vesicle	0	0	0	3	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Skeletal Muscle	0	0	0	5	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Skin	0	0	0	3	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Small Intestine	1.34558952717789	3	9.25196078431373	4	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Smooth Muscle	0	0	0	3	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Spleen	0	0	0	5	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Stomach	0.36543628168365	1	6.39363143631436	4	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Testis	0	0	0	10	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Thyroid Gland	0	0	0	5	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Tonsil	0	0	0	5	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Urinary Bladder	0	0	0	2	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Adipose Tissue	0	0	0	5	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Adrenal Gland	0	0	0	3	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Appendix	1.94014907386117	3	15.0630486831604	3	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Bone Marrow	4.73537296107994	6	18.7894474863116	4	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Breast	0	0	0	4	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Cerebral Cortex	0	0	0	3	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Cervix, uterine	0	0	0	2	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Colon	0	0	0	13	0
34662886_EFO_0005091_GCST90025950_EFO_0005091	Duodenum	0	1	2.82629529799341	2	0
