Cosine_R,traitA,traitB,Cosine_C,Cosine
0.4858898994223068,autism spectrum disorder,epilepsy,0.6649210516897607,0.48391120969523715
-0.12449212000258877,carpal tunnel syndrome,epilepsy,-0.2032199603888531,0.06438015623962454
0.16261298439486446,epilepsy,obsessive-compulsive disorder,0.01099268843994166,-0.022203089572641613
-0.07302053631240009,epilepsy,partial epilepsy,0.43433729702700624,-0.021623310690501805
0.4853702517638261,epilepsy,insomnia,0.3685562275849429,0.3438197960073914
0.1757703363680178,epilepsy,whole-brain volume,-0.13246674347144646,-0.009895523071521828
0.24416023831902994,Headache,epilepsy,0.25289548350387797,0.10441184108660834
0.14599815286271484,Vertigo,epilepsy,0.18870788829144297,0.050775247721814215
0.08646721388594747,Alzheimer disease,epilepsy,-0.08921828942437093,-0.02476043787213706
0.38709682331064243,bipolar disorder,epilepsy,0.5910450710272261,0.32915285562260466
0.07855404770308172,epilepsy,schizophrenia,0.49869571887915803,0.125830949267744
0.03014894285453901,epilepsy,migraine disorder,0.11543084381947813,-0.017779660333217588
0.006708507108834947,epilepsy,multiple sclerosis,-0.27133631800858776,-0.005423064426647304
-0.22615216934802998,autism spectrum disorder,carpal tunnel syndrome,-0.18761335430497136,0.09596113614525664
0.08241836083491161,autism spectrum disorder,obsessive-compulsive disorder,0.13182127323673398,0.12121607667080661
-0.06962945788881131,autism spectrum disorder,partial epilepsy,0.6093861904069664,0.06582127014060105
0.4967238617579983,autism spectrum disorder,insomnia,0.3898070824876149,0.4633501148944955
0.03176332187363565,autism spectrum disorder,whole-brain volume,-0.2875711960624161,-0.01603284337080915
0.3958881378707751,Headache,autism spectrum disorder,0.3753733487399942,0.23192462167635333
0.3549864254226857,Vertigo,autism spectrum disorder,0.30264218597302844,0.1109095439862162
-0.01604943116602328,Alzheimer disease,autism spectrum disorder,-0.02702463481523427,0.0417159491128938
0.564635157180926,autism spectrum disorder,bipolar disorder,0.6404498934436967,0.4550833395330848
0.06933522419018219,autism spectrum disorder,schizophrenia,0.6182312109367027,0.1334573740039816
0.009399216487002546,autism spectrum disorder,migraine disorder,0.2735587453270451,0.0023855209870892406
-0.08004109620540267,autism spectrum disorder,multiple sclerosis,-0.261566986897953,0.07878709707684123
-0.0675054447472408,carpal tunnel syndrome,obsessive-compulsive disorder,-0.0643680576387664,-0.005622203700756388
-0.16350186732510086,carpal tunnel syndrome,partial epilepsy,0.19719638138115042,-0.049249951480399484
-0.23316993679791367,carpal tunnel syndrome,insomnia,-0.15747274940341532,0.06576400068030987
-0.04640711999860712,carpal tunnel syndrome,whole-brain volume,-0.24156984956017197,0.02104090095278211
