GeneSet	Tissue	Log10PValue	Tissue.Specific.Genes	fold.change	samples	NotIdentifiedCount
34375979_EFO_0004533_GCST90025947_EFO_0004533	Adipose Tissue	0	0	0	5	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Adrenal Gland	0	0	0	3	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Appendix	0	0	0	3	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Bone Marrow	0	0	0	4	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Breast	0	0	0	4	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Cerebral Cortex	0	0	0	3	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Cervix, uterine	0	0	0	2	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Colon	0	0	0	13	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Duodenum	0.156702252248559	1	8.47888589398023	2	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Endometrium	0	0	0	5	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Esophagus	0	0	0	3	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Fallopian Tube	0	0	0	5	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Gallbladder	0	0	0	3	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Heart Muscle	0	0	0	4	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Kidney	0.156702252248559	1	8.00084781687156	9	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Liver	5.4127096101884	5	31.9465132024374	10	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Lung	0.156702252248559	1	14.8147566718995	9	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Lymph Node	0	0	0	5	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Ovary	0	0	0	3	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Pancreas	0	0	0	2	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Placenta	0	0	0	8	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Prostate	0	0	0	9	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Rectum	0	0	0	4	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Salivary Gland	0	0	0	3	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Seminal Vesicle	0	0	0	3	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Skeletal Muscle	0	0	0	5	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Skin	0	0	0	3	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Small Intestine	0.156702252248559	1	7.93025210084034	4	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Smooth Muscle	0	0	0	3	0
