trait_pair	density_R	density_C	assortativity_RC	binary	jaccard	jaccard_zero	n_rare	n_common	N_C	N_R	log2SizeOE	Mean_LOEUF	DiffRC_LOEUF	Mean_GO	DiffRC_GO	Mean_GeneSize	DiffRC_GeneSize	Mean_mRNA	DiffRC_mRNA	Mean_nTissues	DiffRC_nTissues
19847924_EFO_0001645_GCST010866_EFO_0001645	0.0	0.0455576169861884	0.0055211412584428	1	0.0	1	6	99	649058.0	4764.0	0.1149385818621201	3.5718759999999996	-0.9703219970259956	19.771428571428572	-0.2222222222222222	111587.0	-1.3895473611447886	13.801415566084652	-0.4152523254671498	52.97142857142857	-0.009478672985781991
19847924_EFO_0001645_GCST011488_EFO_0001645	0.0	0.3	0.0004458606027466	1	0.0	1	6	5	66643.0	4764.0	-0.1147470536499246	2.3623072727272727	-0.9584823769239024	17.363636363636363	-0.17142857142857143	75381.09090909091	-1.4781758615035747	7.956012124579124	0.3600689372899808	52.72727272727273	-0.009478672985781991
19847924_EFO_0001645_GCST90132305_EFO_0001645	0.0	0.0084033613445378	-0.0005122179576415	1	0.0	1	6	35	1077578.0	4764.0	0.2572354971654881	2.4413751219512196	-0.6894027200729566	15.146341463414634	0.06451612903225806	156237.0	-1.579341664567648	8.089872922312555	0.15691364589970744	52.073170731707314	0.009569377990430622
19847924_EFO_0001645_GCST90446534_EFO_0001645	0.0	0.106060606060606	0.0045347920224196	1	0.0	1	6	33	459138.0	4764.0	-0.107372049816847	3.2893892307692307	-0.9584823769239024	21.076923076923077	-0.3157894736842105	92777.0	-1.3353796203993018	9.984043483048437	-0.09119689928772459	51.23076923076923	0.028985507246376812
19847924_EFO_0001645_GCST90449059_EFO_0001645	0.0	0.1108870967741935	0.0041367669558997	1	0.0	1	6	32	640258.0	4764.0	0.020130186305705	3.0477205263157896	-0.8969411885777504	22.31578947368421	-0.379746835443038	85553.13157894737	-1.2896387044063828	13.666197266081873	-0.44320305132286547	52.5	0.0
20549515_EFO_0000384_GCST004132_EFO_0000384	0.0833333333333333	0.0619559651817716	0.0059795183484492	1	0.0140845070422535	0	9	63	40266.0	4686.0	1.680590370142003	2.5821437499999997	-0.5114175272601397	15.875	-0.06451612903225806	75644.875	-0.6869716290243477	6.960586525462963	-0.9378246056604138	48.25	-1.1176470588235294
20549515_EFO_0000384_GCST90020071_EFO_0000384	0.0833333333333333	0.0	0.0021455147820883	1	0.0	1	9	8	1219.0	4686.0	0.3438665982739377	2.4508823529411763	-0.7116077937901348	18.058823529411764	-0.3561643835616438	148665.4705882353	-1.4920669629362848	6.435877850326797	-1.179603225435146	25.11764705882353	-0.8349514563106796
20549515_EFO_0000384_GCST90301327_EFO_0000384	0.0833333333333333	0.1111111111111111	0.003317724914106	1	0.0555555555555555	0	9	10	58538.0	4686.0	1.372691208569249	2.6816	-0.7728249909632251	19.473684210526315	-0.44155844155844154	55846.89473684211	-0.5647931090879355	5.896651716374269	-1.046844632757755	35.526315789473685	-1.1304347826086956
20549515_EFO_0000384_GCST90319897_EFO_0000384	0.0833333333333333	0.1111111111111111	0.0031376149650428	1	0.0555555555555555	0	9	10	79121.0	4686.0	1.5086628267119908	2.286994736842105	-0.568661170962266	20.789473684210527	-0.5365853658536586	52600.57894736842	-0.47958417557031474	6.412831191520466	-1.1218814427589143	35.0	-1.1176470588235294
20549515_EFO_0000384_GCST90446792_EFO_0000384	0.0833333333333333	0.0540711129812749	0.0098589957694507	1	0.0094339622641509	0	9	98	367592.0	4686.0	1.7888057048982338	2.6274495327102803	-0.5114175272601397	15.0	0.0	92455.71028037384	-0.845426835953775	7.927785079958462	-1.0179605573207893	49.80373831775701	-1.1176470588235294
20549515_EFO_0000685_GCST90013534_EFO_0000685	0.1	0.1046099290780141	0.009438854774089	1	0.0	1	5	48	311292.0	4798.0	1.2048556925736116	2.5286377358490566	-0.5124855201404397	19.88679245283019	-0.37681159420289856	79245.60377358491	-0.8344995038321052	8.511148994252274	-1.614197252539013	49.22641509433962	-1.2121212121212122
20549515_EFO_0000685_GCST90018910_EFO_0000685	0.1	0.2363636363636363	0.0035854393801863	1	0.0	1	5	11	595872.0	4798.0	1.0651345786405475	2.64435	-0.6736519294658829	23.625	-0.6666666666666666	75928.375	-0.9323533962556089	7.022375129108797	-1.631020766567822	41.1875	-1.2238805970149254
20549515_EFO_0000685_GCST90131437_EFO_0000685	0.1	0.1446153846153846	0.005799206045906	1	0.0	1	5	26	1026690.0	4798.0	1.3437691434269443	2.761974193548387	-0.6314193420792406	22.387096774193548	-0.5263157894736842	69331.35483870968	-0.751439647879997	9.184661966278378	-1.662315301737979	47.38709677419355	-1.2238805970149254
20549515_EFO_0000685_GCST90132222_EFO_0000685	0.1	0.063859649122807	0.0095299823357667	1	0.0125	0	5	76	276020.0	4798.0	1.343441501498999	2.5166641975308646	-0.49448849352156266	15.876543209876543	-0.13333333333333333	90645.29629629629	-0.9288730208009934	5.807606200628717	-1.4423470360615633	45.839506172839506	-1.1475409836065573
20549515_EFO_0000685_GCST90446530_EFO_0000685	0.1	0.2	0.002387752718422	1	0.0	1	5	5	459138.0	4798.0	0.7540455598739547	2.20155	-0.5855420044968317	22.0	-0.7272727272727273	31862.5	0.16561788936837976	19.040816373240737	-1.8957878710352924	33.5	-1.2238805970149254
20549515_EFO_0001645_GCST010866_EFO_0001645	0.0	0.0455576169861884	0.0056520493411432	1	0.0	1	4	99	649058.0	4174.0	0.3908689481191704	3.5881827184466015	-1.4727712839327938	20.0	0.0	113024.15533980583	-1.6046554590799926	13.929943827705857	-0.3133063076271317	52.728155339805824	-0.1414141414141414
20549515_EFO_0001645_GCST011488_EFO_0001645	0.0	0.3	0.0010664208513629	1	0.0	1	4	5	66643.0	4174.0	0.1642466891997972	2.2801355555555554	-1.4656697269680015	19.444444444444443	0.05128205128205128	83782.77777777778	-1.6651388408953103	8.127968131687242	0.461068824229954	49.888888888888886	-0.1414141414141414
20549515_EFO_0001645_GCST90132305_EFO_0001645	0.0	0.0084033613445378	-0.0005187093370185	1	0.0	1	4	35	1077578.0	4174.0	0.1153923113040652	2.4264671794871795	-1.2964634582329624	15.512820512820513	0.2857142857142857	162322.3076923077	-1.7328422958084955	8.136419734093064	0.2612072282750787	51.38461538461539	-0.12244897959183673
20549515_EFO_0001645_GCST90446534_EFO_0001645	0.0	0.106060606060606	0.0049736517170827	1	0.0	1	4	33	459138.0	4174.0	0.2706733204217528	3.319514054054054	-1.4656697269680015	21.783783783783782	-0.09523809523809523	95760.97297297297	-1.5671375113778108	10.135493936586588	0.01421055641178971	50.45945945945946	-0.10309278350515463
20549515_EFO_0001645_GCST90449059_EFO_0001645	0.0	0.1108870967741935	0.0045677929685875	1	0.0	1	4	32	640258.0	4174.0	0.2871335585861445	3.065256111111111	-1.4283061067336833	23.11111111111111	-0.16091954022988506	88218.66666666667	-1.5351236864257203	14.026418775720167	-0.341820643190397	51.77777777777778	-0.1319796954314721
20549515_MONDO_0005148_GCST006867_MONDO_0005148	0.0	0.0825225225225225	0.0113421143188414	1	0.0	1	3	75	659316.0	4901.0	0.7225055827806754	3.1786269230769233	-0.18823408729548136	14.76923076923077	-0.5	136359.57692307694	-0.5276664432376236	12.670695007122507	-0.9853305126470193	54.0	0.0
20549515_MONDO_0005148_GCST90018926_MONDO_0005148	0.0	0.0562443845462713	0.0104476683291208	1	0.0	1	3	106	667504.0	4901.0	0.6992579938174249	3.0276908256880737	-0.1368215623186877	14.8348623853211	-0.5	142630.91743119265	-0.565588808877556	10.641553826027863	-0.8399470304949	53.027522935779814	0.018691588785046728
20549515_MONDO_0005148_GCST90100587_MONDO_0005148	0.0	0.0	-9.593045902185564e-05	1	0.0	1	3	3	312646.0	4901.0	0.5162476704736991	4.4616999999999996	-0.8124257569984533	10.0	-0.2	112553.5	-0.565588808877556	8.577126287037036	-0.9696387551300191	47.0	0.2978723404255319
20549515_MONDO_0005148_GCST90132184_MONDO_0005148	0.0	0.0577114427860696	0.0119005530495289	1	0.0	1	3	135	251740.0	4901.0	0.6599641136298551	2.827734782608696	-0.06655719759168031	17.804347826086957	-0.6666666666666666	114645.68478260869	-0.35360882301203067	9.809764688607084	-0.7681442858538264	53.02173913043478	0.018691588785046728
20549515_MONDO_0005148_GCST90444202_MONDO_0005148	0.0	0.0552770627286275	0.0100643429879096	1	0.0	1	3	122	421743.0	4901.0	0.5611927447678998	2.8784648	-0.08486644739220005	19.248	-0.7368421052631579	93376.864	-0.14865949590624497	11.084234559999999	-0.8718210228123306	53.024	0.018691588785046728
21738570_EFO_0000384_GCST004132_EFO_0000384	0.1695906432748538	0.0619559651817716	0.007168346088179	1	0.0512820512820512	0	19	63	40266.0	4690.0	1.5138661076543152	2.5587213414634147	-0.2947210829845334	17.853658536585368	0.4	68730.40243902439	-0.952313973348434	7.159392378884372	-0.2611611393474769	48.829268292682926	-0.4090909090909091
21738570_EFO_0000384_GCST90020071_EFO_0000384	0.1695906432748538	0.0	0.0054454578752394	1	0.0	1	19	8	1219.0	4690.0	0.2596991231879197	2.4283629629629626	-0.506725753589069	23.25925925925926	0.10989010989010989	100621.29629629629	-1.6178514555279413	7.2339951366941015	-0.5826565030169982	35.44444444444444	-0.04195804195804196
21738570_EFO_0000384_GCST90301327_EFO_0000384	0.1695906432748538	0.1111111111111111	0.0061364173011629	1	0.074074074074074	0	19	10	58538.0	4690.0	1.101921724485037	2.5810758620689653	-0.572553172712029	23.82758620689655	0.021052631578947368	43122.51724137931	-0.8442053080224896	6.825666477458492	-0.401851805347821	41.55172413793103	-0.42696629213483145
21738570_EFO_0000384_GCST90319897_EFO_0000384	0.1695906432748538	0.1111111111111111	0.0043598364205779	1	0.16	0	19	10	79121.0	4690.0	1.4919203877796223	2.3225413793103447	-0.35483903778670606	24.689655172413794	-0.08	40995.620689655174	-0.7676142590085735	7.1638530301404835	-0.5027125762919608	41.206896551724135	-0.4090909090909091
21738570_EFO_0000384_GCST90446792_EFO_0000384	0.1695906432748538	0.0540711129812749	0.0102222563962493	1	0.0353982300884955	0	19	98	367592.0	4690.0	1.627625673437859	2.607161538461538	-0.2947210829845334	16.46153846153846	0.46153846153846156	86172.84615384616	-1.089597371365985	7.984452553767014	-0.3639176339481378	50.07692307692308	-0.4090909090909091
24151499_EFO_0003756_GCST003130_EFO_0003756	0.0303030303030303	0.0	0.0014061906417507	1	0.0	1	12	3	1430.0	1657.0	-0.6298079288164988	2.55522	0.9334735998396955	9.0	0.30303030303030304	101953.2	0.9117583683870303	9.560012713814814	1.6955757294706375	38.8	0.6461538461538462
24151499_EFO_0003756_GCST007556_EFO_0003756	0.0303030303030303	0.0368421052631578	0.001711117289368	1	0.0	1	12	20	46350.0	1657.0	0.7714348155172853	3.0325875	-0.05561735261401556	12.3125	-0.3829787234042553	185200.25	-0.6405649951449375	8.937364287037038	0.4671921786158439	47.6875	-0.16042780748663102
24151499_EFO_0003756_GCST010515_EFO_0003756	0.0303030303030303	0.0357142857142857	9.217824076649296e-05	1	0.0	1	12	8	12444.0	1657.0	0.9643016996208033	2.472944	0.4821073200506103	7.7	0.6206896551724138	102985.1	0.3405443126308444	7.891105674259258	1.3759427974471496	31.6	0.991304347826087
24151499_EFO_0003756_GCST010643_EFO_0003756	0.0303030303030303	0.0666666666666666	0.0025145757209355	1	0.0	1	12	6	60817.0	1657.0	1.2576056722746556	3.2633500000000004	-0.2933045765539956	10.0	-0.14634146341463414	380976.6666666667	-1.545775754266092	9.150185078703704	0.9752586488088111	36.333333333333336	0.6060606060606061
