GeneSet	Tissue	Log10PValue	Tissue.Specific.Genes	fold.change	samples	NotIdentifiedCount
34375979_EFO_0004533_GCST90025947_EFO_0004533	Adipose Tissue	0	0	0	5	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Adrenal Gland	0	0	0	3	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Appendix	0	0	0	3	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Bone Marrow	0	0	0	4	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Breast	0	0	0	4	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Cerebral Cortex	0	0	0	3	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Cervix, uterine	0	0	0	2	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Colon	0	0	0	13	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Duodenum	0	0	0	2	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Endometrium	0	0	0	5	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Esophagus	0	0	0	3	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Fallopian Tube	0	0	0	5	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Gallbladder	0	0	0	3	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Heart Muscle	0	0	0	4	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Kidney	0.0473754638024486	1	9.33432245301681	9	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Liver	3.90362552717044	4	29.8167456556082	10	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Lung	0.181099357268926	1	17.2838827838828	9	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Lymph Node	0	0	0	5	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Ovary	0	0	0	3	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Pancreas	0	0	0	2	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Placenta	0	0	0	8	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Prostate	0	0	0	9	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Rectum	0	0	0	4	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Salivary Gland	0	0	0	3	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Seminal Vesicle	0	0	0	3	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Skeletal Muscle	0	0	0	5	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Skin	0	0	0	3	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Small Intestine	0	0	0	4	0
34375979_EFO_0004533_GCST90025947_EFO_0004533	Smooth Muscle	0	0	0	3	0
