uuid	TraitR	TraitC	TRAIT
35a22fc2-4ed4-11f0-a218-005056ae3c32	34375979_EFO_0004533	GCST90025947_EFO_0004533	alkaline phosphatase measurement
36ca8325-4ed4-11f0-a218-005056ae3c32	34662886_EFO_0005091	GCST90025950_EFO_0005091	monocyte count
37773de7-4ed4-11f0-a218-005056ae3c32	36088354_EFO_0006925	GCST90019513_EFO_0006925	lipoprotein A measurement
384b7dda-4ed4-11f0-a218-005056ae3c32	34662886_EFO_0007805	GCST90025956_EFO_0007805	HDL cholesterol change measurement
3914e85d-4ed4-11f0-a218-005056ae3c32	36088354_EFO_0004531	GCST90025965_EFO_0004531	urate measurement
39b9daf0-4ed4-11f0-a218-005056ae3c32	34662886_EFO_0007986	GCST90025972_EFO_0007986	reticulocyte count
3a2790e2-4ed4-11f0-a218-005056ae3c32	36138231_EFO_0007984	GCST90025961_EFO_0007984	platelet component distribution width
3ad4e7e5-4ed4-11f0-a218-005056ae3c32	34375979_EFO_0010067	GCST008276_EFO_0010067	corneal resistance factor
3bb47279-4ed4-11f0-a218-005056ae3c32	36280733_EFO_0004574	GCST90025953_EFO_0004574	total cholesterol measurement
3c6524dc-4ed4-11f0-a218-005056ae3c32	34662886_EFO_0004842	GCST90025987_EFO_0004842	eosinophil count
3d38535f-4ed4-11f0-a218-005056ae3c32	34662886_EFO_0004833	GCST90025977_EFO_0004833	neutrophil count
3dc7e932-4ed4-11f0-a218-005056ae3c32	31367044_EFO_0005001	GCST90010736_EFO_0005001	phenylalanine measurement
3e4be644-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022265	GCST90269597_EFO_0022265	free cholesterol in large VLDL measurement
3eca6517-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022175	GCST90269593_EFO_0022175	total lipids in large VLDL
3f5e8eca-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022252	GCST90269718_EFO_0022252	cholesteryl esters to total lipids in medium LDL percentage
3ff131dd-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022236	GCST90269687_EFO_0022236	cholesterol to total lipids in large VLDL percentage
40d02031-4ed4-11f0-a218-005056ae3c32	34662886_EFO_0004458	GCST90025959_EFO_0004458	C-reactive protein measurement
420ee1c4-4ed4-11f0-a218-005056ae3c32	34226706_EFO_0004587	GCST90025984_EFO_0004587	lymphocyte count
42fbd9d7-4ed4-11f0-a218-005056ae3c32	34375979_EFO_0004615	GCST90025952_EFO_0004615	apolipoprotein B measurement
43815d89-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022299	GCST90269587_EFO_0022299	phospholipids in very large VLDL measurement
4424f08c-4ed4-11f0-a218-005056ae3c32	31367044_EFO_0004614	GCST90025955_EFO_0004614	apolipoprotein A 1 measurement
449ba72e-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022230	GCST90269588_EFO_0022230	cholesterol in very large VLDL measurement
4540c0d1-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022258	GCST90269683_EFO_0022258	cholesteryl esters to total lipids in very large VLDL percentage
45cb4d94-4ed4-11f0-a218-005056ae3c32	34662886_EFO_0004696	GCST90025958_EFO_0004696	sex hormone-binding globulin measurement
4637cb07-4ed4-11f0-a218-005056ae3c32	36138231_EFO_0009188	GCST90025988_EFO_0009188	Red cell distribution width
46c05bfa-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022250	GCST90269688_EFO_0022250	cholesteryl esters to total lipids in large VLDL percentage
472deadd-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0021902	GCST90269595_EFO_0021902	cholesterol in large VLDL measurement
4830dbf1-4ed4-11f0-a218-005056ae3c32	31367044_EFO_0009767	GCST90301967_EFO_0009767	glycine measurement
48a8f223-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022325	GCST90269591_EFO_0022325	triglycerides in very large VLDL measurement
49740a57-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022256	GCST90269698_EFO_0022256	cholesteryl esters to total lipids in small VLDL percentage
49ebf979-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022237	GCST90269737_EFO_0022237	cholesterol to total lipids in medium HDL percentage
4ad8f18d-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022269	GCST90269604_EFO_0022269	free cholesterol in medium VLDL measurement
4b506b7f-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022330	GCST90269735_EFO_0022330	triglycerides to total lipids in large HDL percentage
4bbbd682-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022274	GCST90269590_EFO_0022274	free cholesterol in very large VLDL measurement
4c2df945-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022313	GCST90269586_EFO_0022313	total lipids in very large VLDL measurement
4ca5c157-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022336	GCST90269745_EFO_0022336	triglycerides to total lipids in small HDL percentage
4d83501a-4ed4-11f0-a218-005056ae3c32	34662886_EFO_0004617	GCST90025945_EFO_0004617	cystatin C measurement
4e75031e-4ed4-11f0-a218-005056ae3c32	36564505_EFO_0004530	GCST90101748_EFO_0004530	triglyceride measurement
4efdbb22-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0021903	GCST90269665_EFO_0021903	cholesterol in medium HDL measurement
4f92cf34-4ed4-11f0-a218-005056ae3c32	34662886_EFO_0004536	GCST90448632_EFO_0004536	total blood protein measurement
50034447-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022283	GCST90269719_EFO_0022283	free cholesterol to total lipids in medium LDL percentage
509dd699-4ed4-11f0-a218-005056ae3c32	34662886_EFO_0010701	GCST90025975_EFO_0010701	mean reticulocyte volume
51c95e4d-4ed4-11f0-a218-005056ae3c32	34662886_EFO_0007989	GCST004609_EFO_0007989	monocyte percentage of leukocytes
5242fb20-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022251	GCST90269738_EFO_0022251	cholesteryl esters to total lipids in medium HDL percentage
52a9fa53-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022302	GCST90269555_EFO_0022302	polyunsaturated fatty acids to monounsaturated fatty acids ratio
534724b6-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022275	GCST90269618_EFO_0022275	free cholesterol in very small VLDL measurement
53f1bc98-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022340	GCST90269685_EFO_0022340	triglycerides to total lipids in very large VLDL percentage
54600eca-4ed4-11f0-a218-005056ae3c32	34662886_EFO_0009270	GCST90025982_EFO_0009270	heel bone mineral density
54fac82e-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022153	GCST90269600_EFO_0022153	total lipids in medium VLDL
55648681-4ed4-11f0-a218-005056ae3c32	34375979_EFO_0004570	GCST90018973_EFO_0004570	bilirubin measurement
55d1c743-4ed4-11f0-a218-005056ae3c32	31367044_EFO_0005110	GCST90092987_EFO_0005110	fatty acid measurement
5657e736-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022332	GCST90269690_EFO_0022332	triglycerides to total lipids in large VLDL percentage
56b8f2f9-4ed4-11f0-a218-005056ae3c32	34226706_EFO_0007788	GCST90025996_EFO_0007788	BMI-adjusted waist-hip ratio
572d118c-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022262	GCST90269554_EFO_0022262	docosahexaenoic acid to total fatty acids percentage
57a48b7e-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022312	GCST90269649_EFO_0022312	total lipids in very large HDL measurement
58101e91-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022323	GCST90269647_EFO_0022323	triglycerides in small LDL measurement
58f6fc25-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022272	GCST90269611_EFO_0022272	free cholesterol in small VLDL measurement
59895118-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022247	GCST90269708_EFO_0022247	cholesteryl esters to total lipids in IDL percentage
5a14a12b-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022290	GCST90269704_EFO_0022290	free cholesterol to total lipids in very small VLDL percentage
5aae973f-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022228	GCST90269609_EFO_0022228	cholesterol in small VLDL measurement
5b4f1d02-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022255	GCST90269723_EFO_0022255	cholesteryl esters to total lipids in small LDL percentage
5be96134-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022156	GCST90269614_EFO_0022156	total lipids in very small VLDL measurement
5c610237-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022293	GCST90269511_EFO_0022293	phospholipids in HDL measurement
5cceb82a-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022242	GCST90269697_EFO_0022242	cholesterol to total lipids in small VLDL percentage
5d42618c-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022267	GCST90269667_EFO_0022267	free cholesterol in medium HDL measurement
5dcf383f-4ed4-11f0-a218-005056ae3c32	36564505_EFO_0004611	GCST90239612_EFO_0004611	low density lipoprotein cholesterol measurement
5e330322-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022253	GCST90269693_EFO_0022253	cholesteryl esters to total lipids in medium VLDL percentage
5e998d24-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022280	GCST90269714_EFO_0022280	free cholesterol to total lipids in large LDL percentage
5f2133b7-4ed4-11f0-a218-005056ae3c32	36088354_EFO_0004631	GCST90025967_EFO_0004631	vitamin D measurement
5fb891ba-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022300	GCST90269615_EFO_0022300	phospholipids in very small VLDL measurement
604456fd-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0010226	GCST90092937_EFO_0010226	phosphatidylcholine measurement
