Entrez	syn.z_score
1	-0.63549
29974	0.017838
2	1.8362
144568	0.95121
127550	-3.997
53947	-1.1415
51146	0.50391
8086	0.30512
65985	0.48462
13	0.67565
344752	0.052456
126767	0.58064
343066	0.94643
51166	0.26635
79719	-0.0089872
22848	-0.19531
14	0.63624
15	-0.95709
25980	0.71365
441376	0.057878
16	-0.0040917
57505	1.1422
80755	0.68847
132949	1.8858
60496	0.86042
10157	0.92372
26574	-0.2198
9625	-6.5136
18	-1.1377
19	1.3522
26154	1.7845
154664	-0.40071
20	-3.8076
21	-1.1766
24	0.32417
23461	0.22679
23460	0.4385
10347	-4.1534
10351	1.1437
10350	1.4284
5243	0.85708
23456	-1.6738
8647	-0.064409
5244	1.8181
340273	-1.6446
10058	-0.63678
11194	0.15398
23457	0.40573
4363	-1.3967
89845	1.4442
85320	0.85839
1244	1.6072
8714	1.9245
10257	0.13339
10057	1.4276
368	0.75439
6833	1.1937
225	0.48193
5825	0.31408
5826	-0.12126
6059	0.71896
23	1.576
10061	0.019805
114483834	0.015182
9619	0.44173
9429	0.98433
64137	1.0941
64240	-1.7539
64241	-2.2818
84696	0.37384
55347	-0.33812
83451	0.047278
26090	-1.0699
145447	-0.67676
84945	0.46886
25864	0.31642
100526760	1.3549
84836	1.4746
116236	-1.0194
7920	0.74839
140701	-3.8219
81926	-0.076804
51104	0.099517
58489	-2.4678
80167	-0.24921
11057	0.5942
171586	-0.51289
51099	-0.55094
57406	0.99014
79575	-0.22497
10006	0.81479
10152	0.80216
51225	-0.85011
25890	0.10761
54942	0.31528
25	-0.26804
27	0.39799
84448	-0.51832
22885	1.1344
28	-0.36479
29	-0.73137
137735	-0.25798
58527	0.70067
84142	0.55751
23172	1.2586
29777	-0.54465
80325	-0.69479
25841	-0.66393
30	-0.49552
10449	1.0751
31	2.407
80724	1.1698
84129	-0.0018102
27034	0.36371
28976	0.48674
33	0.6557
34	0.34736
35	-0.048199
36	0.44429
37	-1.6866
176	0.059226
9744	0.47265
23527	1.1653
116983	-4.7551
38	-0.28536
39	0.57236
64746	-1.2878
79777	0.10735
91452	0.063787
84320	1.0467
414149	-0.60319
84680	0.72026
390110	0.57329
65057	-0.60941
1636	-1.678
125981	0.095522
340485	-0.36963
55331	-0.50102
43	-0.72881
22985	0.97452
2532	-0.75933
1238	-0.1126
