Entrez	Chrom	Start	End	GeneSize
1	19	58345178	58353492	8314
10	8	18391282	18401218	9936
100	20	44584896	44652252	67356
1000	18	27932879	28177946	245067
10000	1	243488233	243851079	362846
100008586	X	49551278	49568218	16940
100009676	3	101676421	101679217	2796
10001	14	70581257	70600690	19433
10002	15	71792638	71818259	25621
10003	11	90131515	90192894	61379
100033411	16	75693893	75701461	7568
100033422	15	25074114	25074215	101
100033423	15	25075929	25076020	91
100033437	15	25172635	25172716	81
100033440	15	25174927	25175008	81
100033441	15	25176832	25176913	81
100033442	15	25178738	25178819	81
100033443	15	25180497	25180578	81
100033444	15	25182385	25182466	81
100033445	15	25184306	25184387	81
100033446	15	25185631	25185712	81
100033447	15	25187536	25187616	80
100033448	15	25189414	25189495	81
100033449	15	25191416	25191497	81
100033450	15	25193321	25193402	81
100033451	15	25194921	25195001	80
100033453	15	25197576	25197656	80
100033454	15	25199448	25199529	81
100033455	15	25201323	25201404	81
100033456	15	25203227	25203308	81
100033458	15	25204357	25204438	81
100033460	15	25206262	25206343	81
100033603	15	25208083	25208163	80
100033799	15	25209918	25209999	81
100033800	15	25211796	25211877	81
100033801	15	25215541	25215622	81
100033802	15	25218617	25218698	81
100033803	15	25223246	25223327	81
100033804	15	25225203	25225284	81
100033805	15	25227109	25227190	81
100033806	15	25228967	25229048	81
100033807	15	25230838	25230919	81
100033808	15	25232387	25232468	81
100033809	15	25234247	25234328	81
100033810	15	25236085	25236166	81
100033811	15	25237986	25238067	81
100033812	15	25239838	25239919	81
100033813	15	25241746	25241827	81
100033814	15	25243614	25243695	81
100033815	15	25245478	25245559	81
100033816	15	25247345	25247426	81
100033817	15	25249198	25249279	81
100033818	15	25250859	25250940	81
100033819	11	1996759	1996831	72
100033822	15	25269783	25269858	75
100036564	15	25220497	25220578	81
100036565	15	25222348	25222428	80
100037417	22	23966888	23972556	5668
100038246	10	101089321	101141438	52117
10004	11	65044818	65058553	13735
100048912	9	21994139	22212895	218756
100049587	19	51639478	51646825	7347
100049716	12	630858	664196	33338
10005	20	45841721	45857405	15684
10006	10	26746593	26861087	114494
10007	5	141991749	142013041	21292
100073347	19	56840853	56848560	7707
10008	11	74454841	74467729	12888
10009	X	120250752	120258398	7646
1001	16	68636189	68727468	91279
10010	2	161136908	161236230	99322
100101116	Y	6390390	6411564	21174
100101118	Y	6462388	6473691	11303
100101120	Y	9706824	9723864	17040
100101267	7	75416786	75486299	69513
100101268	7	74904289	74915078	10789
100101467	18	35251058	35290245	39187
100101490	20	31547379	31569541	22162
10011	5	140537340	140557677	20337
100113379	9	33952769	33952850	81
100113380	22	29333163	29333258	95
100113386	20	63953384	63956985	3601
100113403	6	104864464	104941450	76986
100113404	9	13927971	13945610	17639
100113407	6	11537749	11583524	45775
100124412	15	101953420	101956412	2992
100124534	9	92292461	92292593	132
100124535	2	69520043	69520174	131
100124536	17	67740669	67740799	130
100124537	2	61417244	61417378	134
100124538	9	117181066	117181200	134
100124539	14	91126425	91126553	128
100124540	X	47388649	47388777	128
100124541	X	52190621	52190748	127
100124700	12	53962308	53975055	12747
100125288	19	10304803	10309880	5077
100125556	3	125915413	125944291	28878
100126270	X	147891981	147911817	19836
100126296	20	58818226	58818313	87
100126297	14	101041363	101041445	82
100126301	X	147258760	147258850	90
100126302	X	134540185	134540262	77
100126303	X	145994275	145994351	76
100126304	X	146001053	146001131	78
100126306	X	145994784	145994860	76
100126307	X	145997198	145997274	76
100126308	14	101064495	101064578	83
100126309	8	99536786	99536861	75
100126310	9	28863626	28863706	80
100126311	15	45433050	45433129	79
100126313	17	12081899	12081996	97
100126314	6	30584332	30584417	85
100126315	14	100875033	100875104	71
100126316	9	28888879	28888955	76
100126317	X	74218547	74218618	71
100126318	22	21652981	21653058	77
100126319	2	56000714	56000795	81
100126320	12	24212421	24212495	74
100126321	3	197674496	197674576	80
100126323	18	39622123	39622175	52
100126324	X	136550878	136550960	82
100126325	19	53982307	53982397	90
100126326	10	104048089	104048186	97
100126327	10	29602264	29602346	82
100126328	16	2271747	2271840	93
100126329	20	63919449	63919520	71
100126330	20	63919756	63919827	71
100126331	1	117094643	117094728	85
100126332	4	1986384	1986477	93
100126333	11	79402022	79402109	87
100126334	3	10394489	10394562	73
100126335	14	101031987	101032064	77
100126336	14	23417987	23418063	76
100126337	X	147259652	147259726	74
100126338	8	143812957	143813042	85
100126339	20	63919505	63919576	71
100126340	3	189829922	189830009	87
100126341	X	146027794	146027872	78
100126342	X	145996669	145996743	74
100126343	5	137647572	137647649	77
100126345	14	101047901	101047979	78
100126346	1	154193665	154193743	78
100126347	5	15935182	15935260	78
100126348	1	93846832	93846911	79
100126349	1	166154743	166154798	55
100126350	2	175167633	175167709	76
100126351	8	144394149	144394230	81
100126352	20	63919561	63919632	71
100126354	4	110860582	110860647	65
100126355	16	14309285	14309371	86
100126356	17	31575411	31575521	110
100126572	6	142132925	142135358	2433
100126791	3	4749192	4751590	2398
100126793	3	10285754	10294903	9149
100127206	5	129748094	129766732	18638
100127888	20	62663019	62666724	3705
100127950	7	43117896	43163188	45292
100127967	12	52601467	52615305	13838
100127983	8	90958471	90985238	26767
100128006	17	12760140	12790242	30102
100128025	3	149656999	149661364	4365
100128071	1	32361270	32364278	3008
100128108	15	101736824	101746870	10046
100128126	8	73420004	73441526	21522
100128139	19	22532290	22537046	4756
100128164	3	169939353	169966738	27385
100128191	12	98512791	98516422	3631
100128239	11	134031993	134067936	35943
100128252	19	56477250	56504362	27112
100128260	Y	57201135	57203405	2270
100128264	7	155067034	155072450	5416
100128327	6	116494989	116545684	50695
100128385	9	113095149	113111543	16394
100128386	11	100684161	100687968	3807
100128398	19	58002061	58021943	19882
100128420	X	136639531	136642546	3015
100128505	9	116504283	116564034	59751
100128531	22	25102417	25112716	10299
100128553	7	144183466	144186080	2614
100128554	12	126438837	126472790	33953
100128560	17	10291816	10684235	392419
100128568	19	5978176	6020363	42187
100128569	19	3539171	3544030	4859
100128640	3	38451027	38454820	3793
100128675	19	35027447	35106898	79451
100128682	19	35399455	35419385	19930
100128688	X	151175175	151177836	2661
100128714	15	25902119	26053125	151006
100128731	2	27070472	27071654	1182
100128750	8	30380582	30385401	4819
100128782	9	95759231	95876241	117010
100128788	16	2737070	2752620	15550
100128881	16	89711856	89718165	6309
100128882	16	88512960	88531053	18093
100128890	8	7263163	7355364	92201
100128893	18	22087583	22169878	82295
