Entrez	LOEUF
1	-0.25212
29974	2.5286
2	3.6475
144568	1.8986
127550	-0.075727
53947	0.82815
51146	0.74202
8086	1.9607
65985	1.6414
13	1.0183
344752	-0.19957
126767	0.821
343066	1.2738
51166	2.955
79719	0.7763
22848	5.7991
14	4.7159
15	0.71606
25980	-0.41162
441376	-0.07562
16	3.2614
57505	3.571
80755	0.75122
132949	1.8032
60496	2.3948
10157	1.8145
26574	1.2263
9625	-2.2665
18	2.209
19	7.1162
26154	7.149
154664	0.33829
20	8.1615
21	5.4153
24	4.2396
23461	1.6526
23460	1.0497
10347	-2.8253
10351	0.59084
10350	1.3498
5243	5.2814
23456	0.58745
8647	3.6992
5244	4.8285
340273	-0.17451
10058	1.5378
11194	2.1067
23457	2.6042
4363	5.8881
89845	2.4288
85320	1.3693
1244	1.5629
8714	3.1339
10257	4.7234
10057	6.768
368	2.2387
6833	3.2826
225	3.0577
5825	4.8281
5826	3.0076
6059	4.1636
23	4.1337
10061	3.9876
114483834	3.8834
9619	3.9887
9429	-0.60248
64137	3.3018
64240	0.135
64241	-0.77462
84696	-0.37063
55347	1.2838
83451	0.65018
26090	1.5916
145447	0.69299
84945	3.1671
25864	1.1332
100526760	1.984
84836	-0.90766
116236	-0.51956
7920	3.6634
140701	-1.937
81926	2.0607
51104	2.9486
58489	1.6759
80167	1.3081
11057	3.6749
171586	0.31389
51099	1.7972
57406	1.1234
79575	2.7553
10006	4.4624
10152	3.52
51225	0.9732
25890	2.0061
54942	0.88968
25	7.3377
27	4.7471
84448	3.28
22885	3.9153
28	0.19788
29	5.9319
137735	1.4512
58527	1.0437
84142	0.47153
23172	2.8227
29777	0.84112
80325	1.4011
25841	3.423
30	0.39119
10449	0.77501
31	9.7083
80724	0.9752
84129	1.3471
27034	0.81887
28976	2.1786
33	0.14883
34	1.0402
35	2.155
36	1.956
37	0.87588
176	7.4572
9744	4.6354
23527	4.9096
116983	2.7361
38	2.3433
39	1.4653
64746	3.5838
79777	0.94807
